E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127,E128,E129,E130,E131,E132,E133,E134,E135,E136,E137,E138,E139,E140,E141,E142,E143,E144,E145,E146,E147,E148,E149,E150,E151,E152,E153,E154,E155,E156,E157,E158,E159,E160,E161,E162,E163,E164,E165,E166,E167,E168,E169,E170,E171,E172,E173,E174,E175,E176,E177,E178,E179,E180,E181,E182,E183,E184,E185,E186,E187,E188,E189,E190,E191,E192,E193,E194,E195,E196,E197,E198,E199,E200,E201,E202,fname,deltaX,mX,deltaY,mY,sigmac
-49282.203,-49432.821,-49995.408,-49996.962,-49998.457,-50000.0,-49816.892,-49292.87,-49294.425,-49295.916,-48516.272,-47878.611,-47880.166,-47363.246,-46505.479,-46357.827,-45755.714,-45352.428,-45048.61,-45050.094,-44199.433,-43341.628,-42924.14,-42925.667,-42898.812,-42040.996,-41836.602,-41269.975,-40177.786,-40094.112,-39669.544,-38676.779,-38166.978,-37309.164,-37161.578,-36055.247,-35133.498,-34588.192,-34426.408,-33717.724,-33435.183,-32577.393,-32301.923,-31571.991,-30543.717,-29465.763,-28998.607,-28758.643,-26629.615,-26631.169,-26277.605,-25419.821,-24562.008,-23611.861,-22619.182,-22308.223,-21130.814,-20273.049,-19287.387,-18124.209,-17699.663,-16266.622,-15273.858,-14252.755,-12848.092,-11990.305,-11132.496,-9564.4992,-8706.7375,-8196.9252,-6707.0628,-5423.1587,-3855.1783,-2997.3811,-1372.5885,1203.8545,1734.9646,2805.8124,5112.3881,6829.503,7978.4968,8843.3612,10872.971,13087.225,14449.277,16422.013,17514.192,20758.188,22652.866,24000.715,25078.637,27037.231,30600.843,31245.578,33822.017,38422.499,40168.035,42339.645,45434.509,46853.345,49280.648,49990.887,49992.37,49993.925,49995.434,49996.962,49998.513,50000.0,49667.776,49292.893,48662.376,48514.724,47656.954,47168.444,47169.999,45836.372,45752.691,45242.865,44335.365,43782.958,43628.205,42777.544,41919.739,41502.251,41503.778,41476.923,40619.107,39761.327,38903.54,38670.677,37962.049,37537.438,36182.537,35324.755,34466.94,33708.54,33461.536,32603.748,32292.798,31598.318,30875.487,30592.917,29735.126,28877.35,28019.531,27502.664,27404.763,26625.094,24772.988,24440.746,23582.977,22725.179,22371.599,21719.779,20954.282,20714.355,19075.337,18118.134,18119.688,16445.164,15281.986,14857.397,13424.328,13156.005,12830.866,11113.73,9858.2486,9611.1833,8142.6768,7483.7094,6789.2617,5072.1316,4001.2776,2518.5193,2051.3258,334.20667,-850.27101,-1026.2878,-3155.3106,-3423.6537,-5119.4673,-5991.4648,-8148.9025,-10647.241,-10453.916,-12575.848,-14292.984,-15299.949,-17208.764,-19444.322,-20671.443,-23446.728,-24517.605,-25602.629,-27696.154,-30272.593,-32174.372,-33181.27,-36475.004,-41700.453,-45136.224,-47151.63,3,3000,4.1322314e-05,1.490939e-05,71373584,0.46359152
-49992.37,-48310.732,-49995.408,-49996.962,-49998.457,-50000.0,-49816.89,-48959.076,-48584.188,-48585.72,-48516.25,-47878.58,-47510.805,-47171.44,-47172.994,-46357.773,-45755.651,-45352.359,-45048.537,-45050.021,-44199.347,-43341.529,-42924.035,-42925.562,-42898.707,-42218.422,-41893.262,-41035.463,-40802.596,-39383.78,-39172.216,-38676.61,-38166.802,-37308.975,-36451.199,-35841.94,-35048.055,-33877.785,-33715.929,-33582.535,-33292.859,-33287.311,-32429.492,-31571.717,-30713.887,-29856.094,-28529.53,-28048.14,-27282.697,-26630.822,-25922.163,-24709.227,-24504.81,-23703.792,-22604.547,-21668.62,-21130.385,-20961.48,-19997.121,-18280.018,-17415.112,-15690.819,-15273.342,-14415.565,-13245.24,-11989.74,-11131.918,-10174.715,-8194.7751,-7152.3145,-6067.2421,-5422.496,-3854.4923,-2293.5887,-391.79563,139.32242,315.34268,2806.5975,4573.4588,6247.9875,8547.501,9547.312,10873.876,13088.162,13995.676,16920.175,19560.579,21277.721,22313.061,23291.588,25647.888,28146.246,29408.894,31289.397,32431.262,35618.541,39686.394,42000.106,45364.921,47153.075,49282.125,49992.374,49432.816,49995.411,49996.921,49998.449,50000.0,49816.841,49292.864,49294.37,48663.843,48516.189,47658.406,47169.889,47171.444,46505.364,45647.588,45045.431,44642.144,44338.291,43636.699,42920.973,42340.153,41503.611,41505.139,40739.699,39555.188,39762.661,39380.681,38757.216,37899.441,37041.616,36183.819,35326.023,35128.662,34320.598,33711.339,33315.154,31910.525,31585.328,30741.756,30168.009,29736.311,28878.523,28730.869,27873.091,27015.276,26157.469,25299.684,23731.669,23079.794,22726.26,22372.675,22374.209,21573.191,20473.946,19147.382,18289.589,16742.887,16573.984,15716.165,14432.255,13865.639,13156.944,12995.141,11512.338,10320.754,9100.7416,8143.5412,7086.8486,5369.7039,4646.8331,4002.0805,2519.3001,2286.4654,661.6466,-1382.187,-1735.7552,-3154.6141,-3962.7098,-5701.1604,-5990.8105,-8126.9742,-9297.2781,-11262.971,-12120.778,-13582.276,-15214.212,-15787.921,-18023.512,-20720.719,-24156.511,-24439.106,-25346.602,-28029.606,-30272.299,-31499.439,-33181.02,-35686.506,-40805.505,-44014.07,-47151.588,3,3000,4.1322314e-05,1.4898975e-05,71374645,0.4223379
-47864.738,-47752.661,-49998.445,-50000.0,-49404.927,-49967.528,-49109.723,-48585.677,-48587.183,-47956.637,-48519.242,-47881.553,-47883.108,-47366.165,-47175.946,-46360.7,-45758.56,-45760.069,-45761.623,-45060.01,-44202.208,-43344.365,-42926.858,-42928.385,-42929.937,-42576.323,-41512.546,-41038.229,-40180.379,-40032.777,-39387.985,-38665.1,-37970.624,-37972.179,-37064.597,-35844.547,-35846.102,-34753.895,-33732.676,-33720.025,-33153.392,-32302.664,-32304.16,-31574.195,-30716.339,-29858.52,-29000.694,-28142.846,-27285.044,-26633.15,-26279.569,-24917.455,-24507.073,-24323.966,-22848.22,-21990.386,-21132.546,-20274.742,-19416.884,-18836.047,-17985.319,-15692.815,-15275.324,-14417.521,-13872.168,-12488.787,-11133.775,-10226.259,-8707.9069,-7154.0506,-6068.9453,-4777.8787,-4481.1162,-2998.2923,-1373.4261,670.46793,1024.0469,2684.4264,4401.6232,6537.846,7978.0823,9553.1851,11426.643,13087.041,13994.582,16919.17,18096.572,19721.46,22312.22,23290.777,25007.969,27357.26,28669.661,31622.622,34007.423,35724.637,39686.081,41999.863,44952.865,47003.846,48571.903,49992.373,48871.742,49995.411,49996.921,49998.449,50000.0,49816.835,49292.842,49294.348,48663.802,48516.144,47658.335,47169.803,46652.86,45795.054,45647.456,44789.609,44336.595,44338.119,43636.506,42778.704,42212.042,41773.229,41504.881,40739.417,39554.871,39762.35,39380.359,38756.875,37962.991,37538.361,36183.399,35325.577,35128.21,33709.289,33462.274,33002.159,32456.829,31598.973,31316.432,30167.406,29302.474,28750.046,28041.329,27872.419,27014.578,26156.745,25298.934,23787.692,23583.269,22725.431,22371.836,21719.986,20862.128,20004.317,19537.093,18459.091,18119.733,16445.133,15281.902,14857.294,13999.479,13155.825,12830.671,11425.945,10106.489,9000.0712,8802.755,7085.5449,5368.3481,4148.3008,3936.7633,2517.8577,2050.6431,333.44628,-318.42481,-998.70116,-3397.7027,-4575.1345,-4573.6058,-5708.4245,-8831.8868,-9299.0794,-10959.447,-12321.521,-14898.076,-15216.193,-15789.919,-18025.579,-20232.83,-22809.385,-24519.49,-26059.09,-28365.77,-30800.285,-32212.114,-34604.017,-36321.205,-40921.866,-44727.126,-45734.069,3,3000,4.1322314e-05,1.4920255e-05,71376814,0.41110146
-49282.192,-49993.91,-49697.133,-49734.197,-49998.457,-50000.0,-49816.89,-49292.86,-48811.445,-48585.72,-47948.107,-48368.603,-47880.134,-47363.207,-46505.427,-46357.773,-45755.651,-45352.359,-45048.537,-45050.021,-44767.489,-43632.702,-43193.902,-42925.562,-42898.707,-42218.422,-41893.262,-41035.463,-40177.64,-40030.042,-39385.27,-39024.597,-38166.802,-37308.975,-37161.387,-36303.602,-35445.755,-34587.963,-33730.132,-33582.535,-32724.716,-32300.164,-32301.66,-31571.717,-30713.887,-29856.094,-28998.295,-28140.472,-26629.267,-26630.822,-25922.163,-25213.504,-24561.63,-24321.709,-22846.007,-21988.2,-21670.174,-19604.973,-19414.775,-18280.018,-17415.112,-15690.819,-15287.545,-14962.401,-13245.24,-11989.74,-11742.67,-10884.895,-8706.1236,-7848.3061,-6493.3594,-5422.496,-3854.4923,-2762.3166,-1428.6795,-38.226476,2360.7025,3275.3289,4403.0083,6539.1662,7979.3588,10257.56,11115.337,12278.56,13995.676,16316.463,18225.378,21085.973,21943.768,23291.588,25008.728,27990.006,28670.309,31246.786,33297.731,36364.231,40879.553,42262.871,44839.348,46854.785,49282.125,49992.374,49993.857,49995.411,49996.921,49998.449,50000.0,49816.841,49292.864,49294.37,48663.843,48587.207,48368.606,47510.809,46652.962,45795.182,45647.588,44789.767,44336.767,44338.291,42933.623,42778.924,41921.106,41503.611,41505.139,40768.106,40087.821,39762.661,38904.862,38047.039,37835.525,36544.491,36183.819,35837.351,35178.374,33709.784,33711.339,32917.454,31747.184,31585.328,31451.934,30594.115,29303.103,28750.691,28752.174,28412.826,27334.856,26398.929,24681.767,24441.852,23584.071,22726.26,22372.675,21720.845,20955.336,20473.946,19147.382,17210.065,18078.088,15863.806,15559.926,15142.433,14575.816,13156.944,12831.8,11114.639,9859.1386,10222.884,7483.0095,7086.8486,6065.6956,5072.9504,4002.0805,3059.0523,1576.271,334.955,-1382.187,-1735.7552,-3154.6141,-3692.8341,-5409.9788,-5990.8105,-8126.9742,-9141.039,-10858.17,-12575.291,-13688.802,-15214.212,-15979.669,-18733.69,-21430.897,-22949.209,-24595.346,-25857.93,-27362.039,-29221.236,-32103.09,-33891.258,-35345.594,-40322.555,-45285.289,-45731.161,3,3000,4.1322314e-05,1.4898975e-05,71374645,0.43199757
-47861.766,-47749.692,-49995.408,-49996.962,-49998.457,-50000.0,-49632.244,-48582.682,-49067.158,-48663.847,-48516.25,-47878.58,-47510.805,-47171.44,-46505.427,-46961.424,-45755.651,-45757.16,-45204.776,-45050.021,-43631.148,-43341.529,-42924.035,-42925.562,-42898.707,-42218.422,-41893.262,-41511.282,-40262.861,-40093.964,-39882.444,-39024.597,-38166.802,-37308.975,-37061.952,-35841.94,-35445.755,-34587.963,-33730.132,-33717.482,-33719.008,-32854.103,-31719.315,-32260.589,-30713.887,-29856.094,-28998.295,-27522.617,-27282.697,-26424.85,-25922.127,-25419.456,-24561.63,-23703.792,-22846.007,-21597.602,-20959.942,-20272.607,-19414.775,-18556.987,-17699.183,-16841.365,-15259.137,-13705.332,-12847.54,-11989.74,-11131.918,-10884.895,-8706.1236,-7152.3145,-6067.2421,-6068.7707,-3769.2693,-2286.488,-1045.1739,671.96641,1707.3258,2927.3302,5283.6508,6539.1662,7979.3588,10250.459,10717.637,12683.361,14450.236,15215.699,16890.243,21085.973,21943.768,23781.66,23801.433,28068.126,29607.744,31537.959,33113.085,37038.9,39686.394,42262.871,44839.348,45171.607,49282.125,49992.374,49993.857,49995.411,49996.921,49998.449,50000.0,49816.841,49292.864,48811.449,48585.724,48445.171,47168.384,47169.889,46652.962,46462.749,45754.115,45499.945,44642.144,44338.291,43636.699,42778.924,42212.279,41773.479,41505.139,41478.283,40620.454,39762.661,38904.862,38671.995,37899.441,37041.616,36183.819,35837.351,35178.374,34320.598,33462.777,33002.676,32457.362,31599.531,31317.0,30168.009,29303.103,28750.691,28041.996,27873.091,27015.276,25688.752,25207.361,24385.032,23079.794,22726.26,22372.675,21720.845,20863.013,20246.689,19857.599,18460.049,17431.759,15991.638,15716.165,14858.361,13425.271,13156.944,12995.141,11512.338,10320.754,9100.7416,8143.5412,7086.8486,6065.6956,4575.811,3938.1626,3059.0523,1341.9076,391.77421,-139.3465,-1678.9397,-1975.6925,-3422.9612,-4280.7693,-7411.2045,-8830.0996,-9297.2781,-11568.379,-12830.981,-13688.802,-15256.823,-16689.846,-18762.097,-20720.719,-22878.191,-24595.346,-26085.187,-28072.217,-29931.414,-32138.598,-33777.629,-34635.416,-40848.127,-46144.619,-45020.983,3,3000,4.1322314e-05,1.4898975e-05,71374645,0.40325966
-49283.735,-47751.233,-49996.951,-49998.505,-50000.0,-49966.034,-49292.901,-49294.403,-48812.988,-48587.262,-48517.792,-47880.122,-47512.347,-47172.981,-46506.969,-46359.314,-45757.192,-45353.899,-45050.077,-45051.561,-44200.887,-43343.069,-42925.574,-42927.101,-42928.653,-42752.594,-42221.515,-41271.383,-40179.177,-39385.317,-39173.754,-38678.147,-38168.338,-37310.511,-37162.923,-36305.137,-35845.029,-34752.855,-33731.666,-33719.016,-33436.471,-32578.667,-32303.193,-31551.944,-30346.127,-30248.224,-28999.826,-28142.003,-26630.797,-26426.38,-25213.479,-25009.082,-24563.158,-24323.237,-22847.535,-21989.727,-21131.912,-18896.319,-18833.955,-18558.512,-17274.558,-17283.186,-15289.069,-14963.925,-13559.272,-11778.186,-11034.004,-10886.416,-8707.6434,-8197.8232,-6707.9378,-4131.4573,-3856.0094,-2529.4696,-720.00092,137.80757,2359.1889,2563.6175,4231.0524,6409.8317,7267.6132,8842.7261,10559.889,12277.052,14448.729,17025.207,15510.921,20757.736,22652.444,23510.242,26285.612,26802.51,29378.988,31202.678,33111.589,35013.33,39088.352,41998.614,44951.529,47002.449,49280.637,49990.887,48870.289,49993.925,49995.434,49996.962,49998.513,50000.0,49667.771,49292.882,48662.356,47875.541,47656.918,47168.401,46651.473,46461.26,45752.626,45242.792,44335.277,44336.801,43635.209,42777.433,42210.788,41771.988,41503.647,40766.614,39908.766,39377.634,39379.188,38755.723,37897.947,37253.175,36530.311,35835.856,34516.413,34319.103,33461.281,32603.48,31745.687,31583.831,30740.258,30166.511,29301.605,28749.192,28729.37,27871.592,27013.777,26155.969,24680.266,24383.531,23078.292,22724.758,22371.173,22372.706,20953.833,20713.903,19465.458,18288.084,17430.254,16572.478,15714.659,14856.855,13423.763,13155.437,12993.634,11510.83,9857.6292,8999.8068,7481.4988,7284.1835,6078.3699,4361.2388,3936.6499,3682.5084,1574.757,716.94801,-140.86151,-1680.4556,-1977.2085,-3424.478,-5120.3179,-7128.6424,-8121.3917,-8744.837,-11264.493,-12576.813,-13690.325,-15300.957,-17018.053,-19076.101,-20672.534,-22808.702,-24518.755,-25603.796,-27320.958,-30089.185,-32175.64,-34375.713,-35688.041,-40807.043,-44576.651,-45022.524,3,3000,4.1322314e-05,1.49202e-05,71374686,0.4023292
-48571.943,-49993.91,-49995.408,-49996.962,-49401.908,-50000.0,-49632.244,-48916.466,-48811.445,-48585.72,-47877.09,-47878.58,-47880.134,-47363.207,-46505.427,-46357.773,-45755.651,-45757.16,-45204.776,-45050.021,-44199.347,-43341.529,-42924.035,-42925.562,-42927.114,-42573.511,-41509.766,-41035.463,-40177.64,-40030.042,-39172.216,-38676.61,-38166.802,-37969.507,-37161.387,-36303.602,-35445.755,-34587.963,-33730.132,-33717.482,-33434.937,-33010.342,-32429.492,-32260.589,-30713.887,-29536.514,-28756.834,-28140.472,-26629.267,-26630.822,-25922.163,-24709.227,-24504.81,-23703.792,-22846.007,-21988.2,-20590.65,-20251.302,-19414.775,-18556.987,-17699.183,-15690.819,-15287.545,-14962.401,-13245.24,-11528.078,-11643.236,-10884.895,-8706.1236,-7152.3145,-6067.2421,-4776.2148,-4479.4612,-2527.9533,-718.48559,-393.32426,2332.2947,2565.131,4232.5649,6830.3479,7411.1595,8858.4396,11981.753,13393.539,14705.9,15819.35,19390.132,19012.202,21943.768,24271.683,25789.931,27514.187,30090.664,32290.747,33482.378,36364.231,40055.747,41630.84,44725.75,46144.607,49282.125,49992.374,49432.816,49995.411,49996.921,49998.449,50000.0,49816.841,49292.864,49294.37,48663.843,48445.171,47168.384,47169.889,47171.444,46505.364,45647.588,44789.767,44336.767,43784.353,43629.597,42920.973,42340.153,41503.611,41505.139,40768.106,40087.821,39762.661,39380.681,38757.216,38545.703,37254.669,36531.806,35326.023,35128.662,34320.598,33462.777,33400.415,32620.719,31599.531,31317.0,30168.009,29736.311,28878.523,28730.869,27873.091,27334.856,26398.929,25299.684,24385.032,23079.794,22726.26,22372.675,21720.845,20863.013,20246.689,19857.599,17920.314,17410.454,16446.152,15559.926,15142.433,14000.572,13156.944,12505.102,10631.678,10107.701,9001.3167,8143.5412,7484.5641,6094.1143,4646.8331,4002.0805,2519.3001,1817.7363,8.2666828,-316.89629,-2360.7275,-3154.6141,-3692.8341,-5409.9788,-6558.9698,-8119.8721,-8743.3172,-11262.971,-12575.291,-13085.151,-15924.39,-16498.098,-18392.805,-21700.814,-23020.234,-24517.226,-25375.009,-27738.433,-31508.061,-32245.129,-33181.02,-36474.803,-40052.676,-43978.547,-46441.41,3,3000,4.1322314e-05,1.4898975e-05,71374645,0.42487067
-47863.276,-49434.347,-49996.951,-49998.505,-50000.0,-49966.034,-49292.89,-49294.392,-48812.97,-48587.241,-47878.6,-47880.09,-47512.31,-47172.939,-47174.494,-46359.26,-45501.461,-45048.449,-45050.003,-45051.487,-44910.989,-44053.158,-43635.702,-43047.74,-42900.14,-42219.845,-42221.4,-41271.254,-40179.031,-40095.355,-39883.831,-39025.971,-38168.162,-37970.864,-37262.159,-36766.556,-35844.819,-34752.628,-33731.425,-33583.824,-33010.068,-33011.623,-32430.764,-31572.976,-30544.67,-29147.099,-28289.278,-27431.48,-26687.265,-26930.263,-25568.205,-25214.665,-24562.78,-24322.856,-22847.131,-21989.311,-21671.28,-20294.999,-19543.681,-18714.286,-17416.152,-16267.143,-15274.349,-14416.559,-12933.732,-11742.13,-11132.861,-10225.359,-8707.0295,-7849.1988,-6494.2312,-4777.06,-3855.3233,-2763.1308,-662.45008,848.75684,1706.5806,3274.6079,4672.1845,6829.6817,7978.7104,8850.7029,11270.978,12682.785,13086.079,14895.566,18139.66,20240.351,22653.524,23511.335,25008.343,28067.788,29152.908,30870.096,33112.825,37713.379,39799.877,42973.012,44313.759,46556.457,49282.113,49992.374,49993.857,49995.411,49996.921,49998.449,50000.0,49816.838,49292.853,49294.359,48663.822,47805.977,47168.34,47169.845,46652.91,45795.117,45647.521,45045.355,44642.061,44338.204,43636.601,42920.864,42631.212,42213.713,41625.752,40767.963,39910.103,39378.963,38904.691,38671.82,37899.254,37041.416,36183.605,35837.133,34517.67,33709.533,33711.087,33314.896,32457.091,31599.248,31451.648,30309.74,29459.025,28878.197,28730.541,28043.212,27725.15,25929.841,25206.978,23731.263,23079.379,22725.839,22372.249,21720.409,20954.888,20714.954,19466.49,18289.1,16742.374,15991.113,15715.636,14857.819,14000.017,13156.376,12994.57,11511.744,10320.142,9100.1104,8142.8953,7086.1863,6065.0176,4575.1101,3937.4518,2433.343,1575.5238,334.1886,-317.67275,-997.93893,-3396.9046,-4304.4417,-5119.6506,-7128.005,-8134.9731,-9852.1403,-11569.329,-12831.951,-13689.785,-14547.574,-15980.687,-18393.86,-20721.811,-24157.656,-23886.244,-25830.693,-28407.21,-31509.319,-33595.756,-33409.576,-37108.25,-41403.465,-45698.668,-45732.638,3,3000,4.1322314e-05,1.4909785e-05,71375747,0.43342042
-47863.276,-49995.453,-49996.951,-49998.505,-50000.0,-49966.034,-49292.89,-48960.604,-48585.71,-48587.241,-48517.77,-47880.09,-47512.31,-46654.502,-46464.305,-46359.26,-45757.129,-45758.638,-45206.245,-44348.401,-44200.801,-43342.97,-42925.469,-42926.996,-42900.14,-42219.845,-42221.4,-41271.254,-40179.031,-40095.355,-39883.831,-39025.971,-38168.162,-37310.322,-37063.296,-35843.264,-35447.073,-34589.268,-34427.479,-33718.774,-33436.224,-32578.408,-32302.93,-31572.976,-30715.133,-29857.327,-28999.514,-28759.542,-27283.889,-26426.029,-25568.205,-25214.665,-24562.78,-23704.929,-22847.131,-21989.311,-21131.483,-20273.692,-19415.847,-18835.019,-17558.147,-16707.447,-15288.553,-14963.404,-13558.73,-12700.91,-11232.287,-10225.359,-8707.0295,-7153.1964,-6068.1073,-4777.06,-3770.099,-2287.2948,-1045.9616,1203.8628,2416.7839,2685.1335,4942.0752,6701.8682,7268.4646,8843.601,10717.031,12682.785,13540.6,15002.095,19560.109,21085.527,22284.226,23511.335,25008.343,27435.72,29152.908,30870.096,33112.825,36364.02,38976.047,41552.563,44952.94,46442.842,49282.113,49992.374,49993.857,49995.411,49996.921,49998.449,50000.0,49816.838,49292.853,48811.43,48585.702,48587.185,48148.4,47539.143,47363.151,46505.31,45754.05,45244.208,44336.68,44338.204,43636.601,43346.963,42212.159,41773.352,41505.008,40824.781,40975.44,39378.963,39380.517,39382.072,38545.526,37254.472,36531.598,35837.133,34517.67,34320.357,33462.521,33400.159,33167.296,31613.451,31451.648,30877.891,30012.972,28878.197,28730.541,27872.75,27014.922,26157.101,25299.303,23731.263,23079.379,22725.839,22372.249,22373.782,20862.564,20246.23,20247.737,18630.007,17431.257,16445.634,15282.421,14857.819,13424.706,13156.376,12504.524,10631.07,10568.708,9100.1104,8803.3708,7086.1863,5717.0147,4859.1941,4001.3707,3768.5309,2051.3597,334.1886,-317.67275,-1679.7372,-2565.9659,-3693.6627,-5410.8338,-5991.6745,-8134.9731,-9852.1403,-10958.536,-12320.589,-14293.445,-15257.83,-16499.124,-18393.86,-21211.841,-22950.335,-24596.497,-26086.361,-27697.021,-29222.459,-32779.036,-34375.481,-36213.368,-40991.556,-44427.431,-47153.087,3,3000,4.1322314e-05,1.4909785e-05,71375747,0.4233181
-48573.486,-47751.233,-49996.951,-49998.505,-50000.0,-49966.034,-49292.901,-48960.619,-49068.7,-48665.39,-47878.632,-47880.122,-47512.347,-46654.551,-46464.358,-46359.314,-45757.192,-45758.701,-45206.316,-44348.485,-44769.029,-43634.242,-43195.442,-42927.101,-42928.653,-42752.594,-41894.801,-41037.001,-40179.177,-40031.579,-39173.754,-38678.147,-38168.338,-37971.043,-37162.923,-36305.137,-35447.29,-34589.497,-33731.666,-33719.016,-33436.471,-33011.876,-32431.026,-31573.25,-30715.419,-29538.046,-28758.365,-27524.148,-26630.797,-26426.38,-25568.568,-25215.033,-24563.158,-24323.237,-22606.074,-21670.147,-21671.701,-20295.441,-18833.955,-18558.512,-18552.922,-17112.757,-15260.66,-13706.855,-12849.062,-11991.261,-11133.439,-10275.663,-9218.9717,-7501.8312,-6281.8203,-6070.289,-3231.0338,-2529.4696,-720.00092,-394.83941,1648.9963,3863.2756,4671.3717,6828.8368,7977.8484,10256.051,11426.306,13392.032,14249.833,15711.306,18138.647,20047.558,22283.151,24000.314,25078.252,28698.749,29378.988,31202.678,33637.121,36398.245,39684.902,41998.614,44539.584,47414.337,49280.637,49990.887,49992.37,49993.925,49995.434,49996.962,49998.513,50000.0,49667.771,48809.961,48584.236,48585.719,48146.941,47168.401,46651.473,46461.26,45646.099,45043.942,44640.654,43782.862,43628.107,43345.575,42210.788,41771.988,41503.647,40795.021,40618.962,39761.169,39379.188,38130.767,37897.947,37040.121,36182.324,35324.528,34466.701,33708.288,33709.843,32915.958,32292.524,31598.034,31315.503,30166.511,30168.065,29004.869,28019.192,27331.857,26694.197,25914.508,24680.266,24440.351,23582.569,22724.758,22371.173,21719.343,21479.365,20486.67,19394.472,18117.642,18119.196,16572.478,15714.659,14856.855,13999.065,13141.233,12283.456,11113.13,9857.6292,9610.56,8142.0309,7085.3376,6064.1841,5071.4384,4000.5678,3682.5084,1809.1228,276.62815,-1028.6038,-1708.8633,-2687.4051,-3864.8018,-5120.3179,-6560.4884,-8128.4937,-9298.7982,-11569.9,-12377.989,-13583.798,-15215.735,-15789.444,-17684.118,-20502.069,-22240.559,-24518.755,-25831.053,-28783.925,-31168.656,-32211.149,-34262.085,-36028.926,-40878.02,-45400.443,-47153.129,3,3000,4.1322314e-05,1.49202e-05,71374686,0.4370239
