E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127,E128,E129,E130,E131,E132,E133,E134,E135,E136,E137,E138,E139,E140,E141,E142,E143,E144,E145,E146,E147,E148,E149,E150,E151,E152,E153,E154,E155,E156,E157,E158,E159,E160,E161,E162,E163,E164,E165,E166,E167,E168,E169,E170,E171,E172,E173,E174,E175,E176,E177,E178,E179,E180,E181,E182,E183,E184,E185,E186,E187,E188,E189,E190,E191,E192,E193,E194,E195,E196,E197,E198,E199,E200,E201,E202,fname,deltaX,mX,deltaY,mY,sigma,eta
-48953.242,-48199.054,-49979.416,-49582.887,-48961.496,-49627.882,-49987.67,-49989.666,-49991.746,-49820.078,-48973.825,-49415.373,-50000.0,-49296.841,-48982.079,-48984.071,-48986.155,-48773.604,-47968.235,-47970.324,-47972.351,-47974.399,-47976.489,-47978.476,-46958.568,-46705.132,-45940.647,-45421.466,-45576.804,-45159.875,-44007.016,-42884.797,-42886.886,-42888.975,-42461.783,-41871.054,-41178.116,-40025.317,-39833.13,-38813.217,-38610.887,-37795.297,-37797.338,-37799.372,-37065.624,-35912.77,-34759.888,-34741.535,-34498.32,-33723.614,-33214.654,-32705.694,-31931.066,-31687.785,-30626.984,-28625.86,-28341.762,-27188.921,-26587.977,-26590.019,-24956.832,-24550.102,-23468.773,-22315.987,-21490.176,-21032.321,-19879.498,-19452.275,-19454.335,-18465.088,-16290.212,-15137.353,-13616.631,-12310.499,-11045.237,-9504.0261,-8351.1925,-8210.1631,-6045.5318,-4340.8126,-2104.6353,-1023.3492,1284.3601,3592.0735,4019.2683,7185.4869,9493.2094,11167.295,12963.964,17581.414,19337.275,21880.072,26323.782,26853.154,30796.157,31948.96,33592.4,37770.392,42030.143,44603.6,48955.331,48955.331,49090.28,49981.505,49983.555,49985.581,49987.67,49989.679,49991.746,49993.835,49995.907,49997.911,50000.0,49429.714,48982.079,48984.084,48986.155,48988.244,48990.312,48992.32,48514.023,47974.399,47230.431,46077.576,45936.572,45938.558,45940.647,45942.737,45423.555,44924.816,44926.826,44009.095,42886.886,42725.439,41868.965,41871.054,41873.144,41180.206,40855.223,39896.539,37793.207,37795.297,37797.352,37329.254,36176.427,35023.618,34739.548,34741.537,33609.197,32701.618,32325.531,31683.698,31685.787,30911.081,29758.29,29606.975,27452.551,26585.943,26168.972,25568.023,24200.568,23528.106,21629.187,21426.863,20273.981,19121.131,18428.263,18430.292,16255.414,15368.336,13387.653,13226.21,12073.351,9816.7728,6701.6448,6816.1221,6440.0265,5287.1993,4124.1442,1959.5129,806.68554,-754.95528,-1979.3241,-4675.4041,-7678.0924,-8105.2872,-10198.378,-11903.109,-15570.112,-16722.924,-18458.344,-20766.011,-23922.061,-25422.341,-30663.298,-31816.087,-33326.668,-36124.964,-37717.243,-42252.969,-45623.521,-47931.245,2,1000,4.4247788e-05,9.93133e-06,102713190.0,0.14550385,0.7794992
-48957.398,-49981.505,-49983.594,-49985.684,-49987.719,-49989.759,-49991.849,-49993.844,-49955.039,-49149.636,-50000.0,-49562.621,-48982.103,-48984.147,-48986.236,-48988.228,-48050.055,-48777.756,-47972.369,-47974.459,-47976.486,-47978.534,-47980.624,-46970.813,-46962.681,-46709.24,-45944.739,-45946.776,-45294.723,-44928.886,-44930.882,-43880.28,-42890.912,-42893.001,-42465.799,-41875.058,-41877.078,-40223.465,-39837.091,-39767.632,-38614.82,-37799.213,-37801.255,-37200.298,-36783.36,-35916.646,-34763.739,-34745.386,-34747.475,-34371.38,-33218.472,-32709.501,-31934.856,-31691.57,-30651.187,-29498.295,-28631.64,-27795.601,-26591.653,-25908.943,-25573.684,-23674.799,-23472.382,-22319.571,-21493.742,-21495.832,-20312.32,-19455.798,-19457.857,-18468.589,-16293.667,-15140.783,-13620.028,-11813.049,-10660.188,-8740.7984,-8231.8309,-7201.6262,-5905.6798,-3597.9152,-1698.9701,-1087.8013,1608.34,3803.6758,5896.8101,7131.4337,8468.2462,11409.675,14678.186,16413.586,20152.199,22224.923,26321.242,26758.634,29546.771,31691.072,36165.556,39188.703,41537.371,45357.746,48953.277,48953.277,49088.228,49979.473,49981.523,49983.549,49985.638,49987.647,49989.714,49991.803,49993.875,49689.274,49415.418,50000.0,49296.852,48982.031,48984.102,48986.191,48988.259,48642.78,47970.289,47972.324,47228.34,46954.396,45944.673,45936.439,45938.529,45940.618,45942.655,45290.602,44137.732,43904.733,43876.159,42886.791,42592.465,41868.848,41870.937,41872.957,40219.261,39832.963,38741.486,37793.003,37795.058,37326.95,36174.098,35021.265,33868.386,33717.157,33606.813,32699.215,32323.12,31681.273,31039.426,30663.33,30665.419,29624.947,28318.838,26583.409,26166.429,25013.577,23860.717,23525.506,23527.5,21485.539,21099.146,19118.437,17965.599,17405.522,15956.272,15365.561,15367.65,12201.37,11283.551,11285.603,9785.2297,6956.2463,5415.0184,5161.5631,4121.1277,1956.4499,803.59778,-758.07657,-3065.8354,-4699.0521,-7466.7342,-9048.8514,-10252.805,-12744.566,-15573.552,-16276.7,-18022.378,-20054.149,-22055.301,-26325.363,-27784.876,-31247.545,-34352.507,-36169.676,-37945.961,-43278.999,-45760.467,-47935.38,2,1000,4.4247788e-05,9.96156e-06,102715390.0,0.025408745,0.66853774
-48963.447,-48209.165,-49723.997,-49368.343,-49993.874,-49995.915,-49998.004,-50000.0,-49961.191,-49155.705,-49699.519,-48986.123,-48988.155,-48990.199,-48992.288,-48994.28,-48914.595,-47976.309,-47978.317,-47980.407,-47982.435,-47984.483,-47986.572,-47988.56,-46845.858,-45948.389,-45950.478,-45952.515,-45300.396,-44934.521,-44016.607,-43916.471,-43754.921,-42601.981,-41878.29,-41880.38,-41187.356,-40034.413,-39842.202,-38750.607,-38006.451,-38488.938,-37806.158,-37205.139,-36052.155,-35768.021,-34768.329,-34749.974,-34752.064,-33997.744,-32711.842,-32713.88,-31939.156,-31695.845,-30655.355,-29655.663,-29085.335,-27615.493,-27065.58,-26597.446,-25781.754,-24628.824,-23475.812,-22322.882,-21496.969,-21499.058,-19722.594,-19162.399,-18602.291,-17449.282,-16296.359,-15378.445,-14276.604,-11815.281,-10662.302,-9509.3298,-8356.353,-7193.1624,-5028.2607,-3875.284,-1904.5951,474.95718,1627.9274,3588.3969,5896.3987,7182.2568,9490.266,11164.56,12961.452,16996.866,19744.404,22900.791,24401.339,27782.593,30795.86,31948.806,35554.977,39989.009,42296.994,45494.266,48957.291,48957.291,49981.503,49983.593,49985.642,49987.669,49989.758,49991.768,49993.834,49995.924,49997.996,50000.0,49562.532,49554.342,49300.901,48986.048,48988.119,48990.208,48992.276,48646.762,48454.648,47771.854,46956.203,46958.205,45948.378,45940.143,45942.233,45944.322,45946.359,45294.239,44141.25,43908.228,43879.651,42890.181,42595.825,41872.134,41874.223,41181.199,40856.176,38936.578,38744.45,37795.87,37460.625,36777.823,36176.799,35023.847,34739.742,33740.05,32699.469,32701.558,32325.424,31683.511,31041.598,30665.464,29757.864,29606.53,27451.839,26585.124,25749.03,25096.9,24884.275,23731.331,22578.326,21486.73,21294.52,20141.577,18988.597,17835.628,15956.895,15366.123,14376.653,13223.73,12070.728,10549.817,8241.8018,6567.5291,5414.5574,5161.0761,4130.7553,2977.786,1548.8278,-350.31244,-2586.758,-5375.1674,-7683.1693,-8110.4172,-11174.814,-11908.711,-14942.453,-15584.347,-18464.761,-21488.272,-23254.487,-27351.308,-30579.239,-31026.907,-33692.675,-35683.792,-36928.756,-43775.084,-45899.064,-46919.201,2,1000,4.4247788e-05,9.971465e-06,102725950.0,0.006572664,0.8854071
-48961.388,-48207.122,-49721.923,-49366.276,-49991.794,-49993.835,-49995.924,-49997.92,-50000.0,-49828.315,-49288.605,-49566.662,-48986.095,-48988.14,-48990.229,-48992.221,-48994.305,-48996.373,-48650.867,-47978.369,-47980.396,-47982.445,-47984.534,-46974.641,-46966.508,-46968.572,-46582.186,-45950.519,-45298.413,-44932.546,-44934.543,-43914.517,-43752.971,-42600.055,-41876.379,-41878.468,-41185.459,-40032.54,-39840.334,-38748.76,-37800.2,-37802.289,-37804.331,-37203.325,-36786.353,-35919.568,-34766.566,-34748.211,-34750.301,-34374.174,-33732.275,-33090.375,-31937.452,-31694.145,-30653.677,-29500.691,-28347.776,-27194.816,-26593.81,-26595.852,-25780.178,-25577.827,-23474.283,-22321.378,-21168.409,-20475.423,-19884.637,-19457.37,-17742.299,-16425.777,-15477.308,-15929.099,-13621.122,-11813.995,-10027.324,-9252.5613,-8355.1391,-7212.4152,-6785.1755,-4150.1364,-2925.6399,-4.4126041,1628.9336,3589.3623,5897.3161,7183.1475,9491.1087,11799.071,14106.977,17580.15,19336.192,21879.253,26323.423,26576.872,28404.461,32306.917,35105.503,37321.491,42256.27,44738.005,48957.312,48957.312,49092.275,49983.593,49985.642,49987.669,49989.758,49991.768,49993.835,49995.924,49997.996,50000.0,49562.541,48981.974,49689.314,49170.047,48988.14,48990.229,48992.297,48646.79,47974.244,47976.279,47232.234,46958.268,45948.462,45940.228,45942.317,45944.406,45946.443,45294.337,44928.391,44010.565,43879.778,42726.776,41870.214,41872.303,41312.18,41549.306,41050.566,39897.584,37794.034,37796.123,37460.885,36778.098,36177.086,35024.158,34740.059,33740.388,33609.591,32701.918,32325.792,31683.892,31041.993,30665.866,29758.285,29606.954,27605.623,27321.524,26168.596,25567.585,24884.797,22914.114,22507.342,21487.323,21100.898,19447.099,18989.242,17836.297,16683.368,15530.396,14377.394,13224.495,12071.517,10918.594,8763.9424,6568.4326,6182.0767,5284.6635,4131.7094,2835.667,803.68625,59.58392,-2646.997,-5721.5407,-6874.4926,-8027.4386,-8260.4732,-11539.448,-13847.383,-16155.36,-18463.337,-20055.77,-22905.431,-26368.383,-30577.563,-31025.221,-33333.198,-35150.517,-37550.43,-41013.382,-46254.881,-47939.286,2,1000,4.4247788e-05,9.96134e-06,102723810.0,0.0379048,0.86479485
-48961.41,-49985.58,-49721.928,-49366.289,-49991.795,-49993.835,-49995.924,-49997.92,-50000.0,-49828.318,-49288.62,-49566.671,-48986.117,-48988.161,-48990.25,-48992.242,-48054.012,-48781.757,-47976.322,-47978.411,-47980.439,-47982.487,-47984.576,-47986.564,-46966.572,-46968.635,-46582.257,-45950.604,-45298.512,-44932.652,-44014.776,-42892.464,-42894.553,-42896.643,-42469.415,-41878.638,-41880.658,-40226.944,-39840.546,-38748.996,-37800.454,-37802.544,-37804.586,-37806.62,-37072.811,-35919.862,-34766.884,-34748.53,-34750.619,-34374.501,-33221.523,-32712.521,-32714.61,-30897.305,-30654.081,-29347.792,-27612.257,-27195.293,-26594.299,-26596.341,-25780.684,-25578.337,-24435.69,-22321.956,-21496.077,-21038.184,-20478.073,-19028.735,-18437.987,-18440.077,-16397.902,-15694.709,-12967.685,-11814.793,-10028.159,-8486.8291,-7333.9068,-7203.0881,-6050.1582,-4345.2983,-1700.096,-547.17351,1280.3388,3588.2426,4955.8152,6159.8413,8651.7344,11797.78,13655.922,16556.658,20459.032,22225.258,24359.433,26851.243,30794.572,32305.198,34613.126,37544.524,41763.744,45492.365,48955.245,48955.245,49090.204,49981.504,49983.553,49985.58,49987.669,49989.679,49991.745,49993.835,49995.907,49997.911,50000.0,49429.667,48981.995,48984.001,48986.071,48988.161,48990.229,48644.729,47972.197,47360.984,46954.241,46956.242,45946.457,45938.223,45940.312,45942.402,45944.439,45292.346,44926.407,44008.601,42855.636,41866.291,41868.294,41870.383,41872.473,41179.477,40026.5,38873.619,37792.2,37794.289,37459.058,36776.285,36175.286,35022.382,34738.289,33738.638,33607.844,32700.19,32702.28,32193.277,31040.299,30664.181,29756.619,28624.096,28472.858,27319.909,26167.005,25014.083,24545.946,22912.59,22505.827,21424.505,20271.527,19445.648,18987.801,17834.88,16681.975,15529.027,13384.631,13120.966,11283.218,9813.4558,7198.9052,6567.2507,6180.9029,5283.5084,4120.3573,1955.5473,526.65747,-1372.4056,-3067.0448,-4700.3612,-7468.2123,-9050.4261,-10152.242,-10702.12,-13848.138,-16605.782,-18903.49,-21487.381,-22405.195,-26327.993,-28625.701,-30678.11,-34662.251,-36132.074,-39594.954,-42301.418,-46387.83,-47939.329,2,1000,4.4247788e-05,9.97151e-06,102721670.0,0.02762419,0.90211844
-48966.9,-48219.569,-49720.441,-48973.071,-49501.685,-49989.853,-49991.923,-49993.9,-49995.961,-49998.014,-50000.0,-49566.608,-48991.38,-48993.405,-48995.475,-48997.449,-48999.514,-49001.563,-48659.233,-47992.919,-47994.928,-47996.957,-47999.028,-46998.42,-46990.362,-46739.231,-45981.697,-45983.715,-45337.605,-44975.102,-44977.081,-43936.053,-42955.702,-42957.772,-42959.799,-42404.823,-41262.469,-40120.151,-39929.712,-38919.072,-38718.581,-37910.407,-37446.587,-37499.237,-37187.369,-36044.998,-34902.597,-34884.412,-34886.482,-34888.514,-33877.766,-32867.081,-32869.151,-31969.825,-30827.526,-29685.141,-28542.828,-27815.678,-27270.833,-26128.501,-25796.298,-24856.533,-23714.146,-22571.842,-21753.539,-20844.13,-19732.17,-19734.168,-18885.538,-17743.154,-16600.856,-15691.401,-14235.13,-11644.579,-11018.719,-9876.3725,-8734.0209,-8594.2739,-6307.5415,-4294.2473,-3556.9944,-1412.0441,1826.6539,3313.3261,3523.9625,5699.295,8765.8273,10222.099,12508.854,15950.092,18398.88,21222.369,24653.479,26798.447,27910.396,32212.475,34327.005,37758.116,41938.627,43870.936,48051.448,48051.448,48185.17,48804.963,48452.511,49072.331,49074.401,49076.392,50000.0,49080.51,49082.563,49084.548,49086.619,49088.632,48391.891,48079.94,48081.992,48084.062,48086.111,47743.781,47077.419,46471.813,46068.802,45199.859,45060.137,45062.105,45064.175,45066.245,44551.785,44057.58,44059.572,43150.185,43020.601,42040.25,41748.606,41031.585,40476.612,40022.919,39204.617,39014.254,37932.724,36992.885,36660.73,35518.376,34973.526,34246.408,33964.921,33966.892,32844.847,31945.521,31572.853,30936.855,30300.858,29928.19,29028.954,28899.271,27605.065,25885.452,25472.272,24876.787,23521.766,22855.418,21915.579,20773.281,19630.881,18812.578,17903.169,16791.209,15355.168,14769.84,13789.489,11634.487,10725.032,10362.492,8227.6523,6052.3299,5669.5266,4780.365,3638.0122,2212.104,-398.70617,-801.76015,-3017.5958,-5780.3085,-8067.041,-8490.3515,-9602.3231,-11889.05,-14803.672,-17151.215,-17736.513,-20732.117,-24163.312,-27594.44,-30934.398,-32775.472,-33836.855,-36295.722,-39291.379,-42368.008,-46416.93,-47954.196,2,1000,4.4247788e-05,1.443874e-05,101779280.0,0.027038902,0.90985084
-48959.296,-48205.014,-49985.597,-49987.686,-49458.219,-49634.02,-49993.852,-49995.848,-49997.928,-50000.0,-49695.367,-48981.971,-48984.003,-48986.047,-48988.137,-48990.129,-48992.213,-48779.635,-47974.167,-47976.256,-47978.284,-47980.332,-47982.422,-46972.508,-46841.709,-46199.77,-46580.045,-45427.084,-44928.283,-44930.372,-44012.459,-43912.323,-43750.773,-42894.28,-42467.035,-41876.234,-41183.21,-40858.187,-39899.385,-38818.019,-38615.663,-37799.973,-37331.838,-36781.926,-36784.016,-35917.214,-34764.189,-34745.834,-34747.923,-34371.789,-33218.764,-32709.741,-31935.018,-30782.017,-30651.218,-29651.526,-29081.198,-27611.358,-27061.446,-26593.311,-25777.621,-25575.265,-24432.571,-22318.751,-21492.838,-21034.926,-19881.961,-19454.686,-18598.163,-17445.154,-16292.232,-14904.119,-12964.097,-11811.158,-10658.179,-8738.5935,-8229.5741,-8211.1857,-5903.1856,-4147.1455,-2922.6245,-543.07711,1959.1311,4614.6615,5041.9091,7186.3655,9494.373,11168.665,12965.557,15253.079,18113.076,22731.127,26367.909,27694.686,30002.616,33026.161,36662.96,40217.982,44079.672,46653.358,48961.367,48961.367,48963.457,49231.298,49989.718,49991.745,49993.834,49995.844,49997.911,50000.0,49828.311,49288.59,49566.609,48986.03,49693.384,49174.107,48992.196,48994.285,48996.353,48650.839,47978.28,47980.315,47236.255,46083.258,46954.137,45944.222,45946.312,45948.401,45950.438,45298.319,44932.365,44014.521,42892.173,42730.706,41874.127,41876.216,41316.082,40858.17,40860.259,38940.662,38748.535,37799.955,37464.71,36781.909,36180.885,35027.934,34743.83,33744.138,33613.339,32705.648,32707.737,31687.653,30667.504,30669.555,29761.956,28629.386,28324.824,26589.218,26591.265,26041.348,24888.37,23735.427,22582.423,21490.828,21104.395,19123.484,18430.53,17839.729,17412.484,15697.321,14380.756,13125.622,11052.71,9163.818,7704.1687,6960.0526,6185.2747,5287.8435,3112.7232,2102.8461,1552.9408,-346.198,-2582.6419,-4696.4348,-7464.3992,-8106.2968,-10199.646,-11720.605,-14549.921,-16152.609,-18460.633,-21484.142,-24098.802,-25425.489,-29644.877,-31247.636,-33995.172,-36129.434,-40215.95,-42564.783,-46385.61,-47937.173,2,1000,4.4247788e-05,9.931415e-06,102725870.0,0.13432255,0.6794197
-48963.426,-48209.129,-49989.749,-49991.838,-49462.36,-49638.164,-49998.004,-50000.0,-49020.822,-49830.388,-48984.013,-48986.102,-48988.134,-48990.179,-48992.268,-48994.26,-48914.573,-47976.269,-47978.277,-47980.366,-47982.394,-47984.443,-47986.532,-46976.598,-46968.465,-46714.993,-45950.397,-45952.434,-45300.301,-44934.419,-44016.487,-43885.684,-42896.195,-42601.833,-41878.127,-41880.217,-41187.179,-40862.15,-39903.327,-38821.938,-38619.579,-37803.871,-37805.913,-37807.947,-37074.093,-35921.073,-34768.024,-34749.669,-34751.758,-34375.616,-33222.568,-32713.534,-31938.794,-30785.77,-30654.967,-29501.934,-28348.972,-27195.965,-27146.892,-26934.284,-25781.269,-24628.316,-23475.28,-22516.535,-22191.455,-21498.487,-20314.83,-19458.203,-18601.662,-17448.63,-16295.683,-15377.751,-14275.888,-11814.516,-11295.261,-8997.431,-8232.8574,-8224.6904,-6928.5951,-4344.5599,-2108.0599,-484.86798,2303.5973,3804.1275,5897.519,7234.5111,10145.629,11094.165,13657.772,16558.687,19030.301,24425.331,23503.249,27692.15,30000.128,33381.486,36701.497,39193.5,41542.458,46252.567,48959.274,48959.274,49094.242,49985.597,49987.646,49989.673,49991.762,49993.772,49995.838,49997.928,50000.0,49695.361,48981.906,49556.337,49302.891,48988.032,48990.103,48992.192,48994.26,48648.739,47976.166,47364.915,46958.147,46960.148,45950.301,45942.066,45944.155,45946.245,45426.989,44928.178,44143.137,43910.11,43912.196,43587.084,41871.886,41873.975,41876.065,41183.027,40029.978,38877.025,38746.229,37797.629,37462.377,36779.562,36178.526,35761.494,34894.762,34743.429,33610.926,32703.216,32327.074,31685.148,31043.223,30667.081,30669.17,28606.425,27606.713,27322.602,26169.627,25568.591,24885.776,23732.809,22579.781,22387.649,20468.012,20142.983,18989.98,18429.831,16254.638,15367.433,14377.943,12305.068,11836.879,9896.8584,8743.8296,6957.0853,6182.2912,6184.3459,4131.8402,2835.7448,803.68107,-758.18509,-4149.7269,-5394.7198,-6660.1569,-8968.205,-9283.0241,-12746.147,-15258.615,-16156.057,-18464.129,-21487.701,-22405.571,-25347.354,-30670.843,-31598.904,-32670.137,-37605.185,-40792.3,-43059.485,-46522.579,-47941.282,2,1000,4.4247788e-05,9.96171e-06,102728010.0,0.060810626,0.5432794
-48959.381,-48205.161,-49985.598,-49987.687,-49989.723,-49991.763,-49993.852,-49995.848,-49997.928,-50000.0,-49695.392,-48982.055,-48984.086,-48986.13,-48988.22,-48990.211,-48992.296,-48994.363,-48648.878,-47976.422,-47978.45,-47980.498,-47982.587,-47984.575,-46964.624,-46711.178,-45946.662,-45427.459,-44928.699,-44930.788,-44012.95,-43912.822,-43751.286,-42894.862,-42467.652,-41876.9,-41183.933,-40858.937,-39900.213,-39769.431,-38616.596,-37800.973,-37332.877,-36783.01,-36049.157,-34896.314,-34744.997,-34747.084,-34749.173,-33994.916,-32709.121,-32711.158,-31936.498,-31693.207,-30652.804,-29499.888,-28633.216,-28216.196,-27063.326,-25910.464,-25575.198,-24626.771,-23473.854,-22321.02,-21168.123,-20475.179,-19884.43,-18731.543,-18437.211,-16456.445,-16294.995,-15377.157,-14643.342,-12335.528,-11295.087,-8997.493,-8232.9979,-7202.7725,-5906.8002,-3874.948,-2313.2478,536.25443,1300.7492,3373.483,4955.6319,6159.6086,8651.3994,11797.315,14105.079,16412.913,18720.747,22725.165,25380.492,27596.334,29198.868,31946.179,34570.845,38565.042,41271.472,44468.479,48953.256,48953.256,48955.345,49223.164,49981.522,49983.549,49985.638,49987.647,49989.714,49991.803,49993.875,49995.879,49997.968,50000.0,49296.837,48982.01,48984.081,48986.171,48988.238,48642.753,47970.249,47972.284,47228.285,46954.335,45944.592,45936.358,45938.447,45940.536,45421.334,44922.574,44137.614,43904.611,42884.559,42886.648,42592.316,41868.685,41308.597,40850.722,40024.877,39832.76,38741.26,37792.758,37794.814,37326.696,36173.821,35756.833,34890.189,33737.274,32696.779,32698.868,32322.765,31680.906,31039.046,30662.943,29755.418,28622.941,28318.404,26582.94,26165.951,25564.977,24197.466,24342.607,22648.016,22445.684,21098.567,19444.87,18527.078,17404.869,15955.59,15364.867,14375.479,13120.448,11282.775,10916.893,8762.3751,6567.0012,5414.1249,5160.6645,3108.3697,1955.4871,802.61187,-350.26805,-3128.2254,-5722.211,-6875.0915,-8027.9661,-10202.908,-11907.71,-15574.866,-15828.286,-17584.22,-20055.553,-24601.706,-25468.385,-31598.733,-32271.211,-35018.522,-37152.61,-40615.347,-44078.085,-44873.213,-47937.342,2,1000,4.4247788e-05,9.971315e-06,102717450.0,0.14704672,0.67589873
-48961.388,-49985.58,-49987.669,-49989.758,-49991.794,-49329.468,-49771.061,-49997.92,-50000.0,-49828.315,-48981.974,-48984.064,-49558.53,-49305.023,-48990.229,-48992.221,-48912.537,-47974.271,-47976.279,-47978.369,-47980.396,-47982.445,-47984.534,-46974.641,-46966.508,-46713.047,-45948.482,-45950.519,-45298.413,-44932.546,-44014.651,-43883.854,-42894.405,-42600.055,-41876.379,-41878.468,-41880.488,-40226.739,-39840.334,-38820.315,-38617.963,-37802.289,-37804.331,-37806.365,-36336.554,-35766.237,-34766.566,-34748.211,-34750.301,-33995.997,-32710.122,-32712.16,-32714.249,-31806.576,-30674.119,-30369.477,-28633.965,-27797.857,-26593.81,-26595.852,-25780.178,-24627.272,-23474.283,-22515.577,-22190.511,-21037.579,-19884.637,-19457.37,-17742.299,-18408.754,-16294.98,-15377.085,-14643.224,-12335.267,-11294.762,-8997.0255,-8232.4831,-6190.2825,-6049.2399,-4620.3203,-2312.3664,-4.4126041,2978.1421,4018.6559,5897.3161,6212.1214,9491.1087,12115.954,14679.412,16997.552,19029.562,21879.253,25342.205,26576.872,28629.346,32971.35,34614.894,39416.863,41806.572,45361.487,48957.312,48957.312,49092.275,49983.593,49985.642,49987.669,49989.758,49991.768,49993.835,49995.924,49997.996,50000.0,49562.541,49554.351,49300.915,48986.069,48988.14,48990.229,48777.655,48319.718,48035.57,46954.177,46956.267,46079.26,45938.241,45940.228,45942.317,45944.406,45425.171,44926.381,44928.391,44010.565,42888.239,42890.329,42595.979,41872.303,41312.18,41549.306,41050.566,39897.584,38744.684,37796.123,37460.885,36778.098,36177.086,35024.158,34740.059,33740.388,33722.022,33478.716,32704.008,32194.995,31041.993,30665.866,28848.523,28605.295,27605.623,27321.524,26168.596,25015.65,23862.695,22709.694,23457.897,21487.323,21295.117,19815.125,18427.086,17836.297,15957.603,15366.843,13385.955,12304.603,12071.517,10550.637,8242.6705,7202.1549,6437.6099,5284.6635,4131.7094,2835.667,803.68625,-758.11612,-3066.0641,-5374.0156,-6874.4926,-8967.8007,-9231.4993,-11723.444,-14869.555,-16278.012,-18606.431,-21077.872,-22230.843,-26327.499,-29647.357,-31474.946,-34661.931,-36131.784,-39594.736,-42301.257,-46387.754,-46917.184,2,1000,4.4247788e-05,9.96134e-06,102723810.0,0.033864975,0.6840527
