E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127,E128,E129,E130,E131,E132,E133,E134,E135,E136,E137,E138,E139,E140,E141,E142,E143,E144,E145,E146,E147,E148,E149,E150,E151,E152,E153,E154,E155,E156,E157,E158,E159,E160,E161,E162,E163,E164,E165,E166,E167,E168,E169,E170,E171,E172,E173,E174,E175,E176,E177,E178,E179,E180,E181,E182,E183,E184,E185,E186,E187,E188,E189,E190,E191,E192,E193,E194,E195,E196,E197,E198,E199,E200,E201,E202,fname,deltaX,mX,deltaY,mY,sigma,eta
-41971.002,-42079.66,-43564.611,-44801.83,-44827.91,-44853.99,-44880.07,-44906.151,-44932.231,-45701.51,-46360.685,-46386.765,-46412.846,-46438.926,-46465.006,-46491.086,-47838.408,-46570.772,-47945.621,-47971.701,-47997.781,-48023.861,-48049.941,-47553.03,-47331.377,-48128.182,-48154.262,-47327.04,-47766.009,-48232.503,-49359.618,-48477.345,-49576.934,-49713.118,-49739.198,-49627.649,-48415.065,-48743.929,-49458.156,-48493.305,-48519.385,-48545.466,-48571.546,-49395.876,-50000.0,-49062.675,-48675.867,-48701.947,-49939.166,-48836.685,-47403.894,-48888.845,-49878.331,-47729.867,-48884.508,-48910.589,-48936.669,-48384.706,-48273.157,-48271.711,-47664.696,-46782.422,-47331.494,-46669.428,-46392.723,-47657.468,-46499.935,-46443.438,-45230.854,-46523.124,-46549.204,-46217.448,-44784.657,-42828.874,-41148.35,-40486.284,-39824.217,-38143.693,-37123.79,-35112.955,-33322.328,-31889.537,-27924.365,-26271.367,-23407.23,-20653.197,-19440.613,-18255.551,-12831.501,-9884.7972,-8809.8424,-5285.0854,-218.87877,7187.0279,12390.864,17209.338,18834.81,26708.656,34472.398,36565.811,39374.895,40751.189,40859.847,42344.799,43334.285,42892.425,45010.472,45036.552,45062.632,45749.333,46491.086,46517.166,46543.247,46569.327,46595.407,46621.487,46647.567,47994.89,46699.728,46725.808,46944.569,47879.004,47161.885,48206.423,48232.503,48258.583,47596.517,47705.174,48336.824,48362.904,48388.984,49516.1,48633.826,48467.225,48493.305,48519.385,48683.095,49727.633,48900.411,50000.0,49558.14,48675.867,48701.947,48012.354,48176.064,48780.188,48806.268,48832.348,48858.428,48884.508,47616.873,48936.669,48962.749,48988.829,49014.91,49040.99,48654.182,47716.856,47742.937,47769.017,47795.097,47821.177,47847.257,46882.406,47596.633,46769.411,46575.285,46601.365,46627.445,46543.422,45110.631,43677.839,42960.721,44005.259,43508.347,42075.556,39954.618,38604.404,38630.485,37720.685,36287.894,33754.068,32046.018,29347.037,26455.374,20866.176,19571.014,18936.473,15494.293,14749.649,10454.162,4837.4341,3211.9702,-340.31262,-6012.0887,-6839.3112,-13061.595,-24293.604,-28038.572,-30682.502,-36161.596,-39218.414,5,2000,4.7169811e-05,2.401264e-06,1390055300.0,0.50931126,0.9887215
-41549.288,-39077.674,-43138.294,-44371.939,-44397.943,-44423.948,-44449.953,-44475.958,-44501.963,-45269.02,-45926.291,-45952.296,-45978.3,-46004.305,-46030.31,-46056.315,-46082.32,-47453.196,-46244.115,-47532.652,-47558.657,-47227.86,-46677.491,-47636.672,-47662.677,-47688.682,-47714.687,-47740.691,-48699.873,-48149.504,-48916.56,-48036.836,-47870.716,-49241.592,-49240.151,-48085.962,-49347.053,-49373.058,-49014.814,-48519.338,-50000.0,-49586.863,-48844.37,-49529.087,-49555.092,-48620.475,-49277.746,-49633.107,-48451.472,-48312.799,-48338.804,-48282.469,-47018.495,-47291.518,-48113.467,-47508.205,-48494.833,-48520.838,-47888.13,-47200.53,-48049.925,-48624.857,-47662.793,-46234.141,-45958.236,-45984.241,-46010.246,-46036.251,-45952.47,-44908.067,-45839.802,-44767.952,-44354.815,-42926.163,-41497.511,-40068.859,-38640.207,-38062.392,-36222.044,-36385.281,-33474.526,-31496.946,-30068.294,-24605.027,-24301.676,-19057.98,-18864.414,-17133.849,-13482.035,-9555.7737,-8483.9242,-4969.3495,82.221984,7466.7346,12655.538,15538.847,21551.041,28798.321,33630.322,37968.288,36816.982,40933.936,41206.958,44938.222,43509.57,42739.63,44220.292,45206.919,45809.298,46631.247,46657.252,46683.257,46709.262,46735.267,46761.271,46787.276,48048.367,46894.179,46865.291,47001.081,48097.494,46943.306,46969.31,47434.457,48393.638,47815.823,47759.489,47703.155,47976.177,48523.663,48549.667,49673.527,49973.995,50000.0,48681.133,48679.692,48842.928,49884.449,48757.706,49167.96,49715.446,48835.721,48861.726,49601.336,49490.109,48939.741,48965.745,48991.75,49017.755,49043.76,49069.765,49095.77,47831.796,49147.78,49173.784,48870.433,47853.476,47879.481,47905.486,47931.491,47957.496,47983.501,48009.506,48035.51,48061.515,46934.773,46741.207,46767.212,45420.899,45446.904,45280.784,44126.596,43795.798,42806.287,42832.292,42254.477,40825.825,39397.173,37968.521,37473.045,34452.504,34505.955,32446.037,29562.728,26679.419,25058.642,19814.946,19182.238,15146.182,13031.371,11657.607,6770.7098,346.82936,-2618.8188,-2730.0456,-10306.674,-18075.44,-22825.105,-27163.072,-35123.957,-37376.0,-38804.652,5,2000,4.7169811e-05,2.184482e-06,1386039700.0,0.6400663,0.9875065
-43200.569,-40725.346,-44626.977,-44653.02,-44679.063,-44705.106,-44731.148,-44757.191,-44783.234,-44809.277,-45659.913,-46235.685,-47251.239,-46590.121,-46313.813,-46339.856,-47685.248,-46419.428,-47792.307,-47818.35,-47844.392,-47870.435,-47896.478,-47922.521,-47948.564,-47974.607,-48000.65,-48026.692,-48052.735,-48078.778,-49204.279,-48323.269,-48156.907,-49529.785,-49528.341,-48235.035,-48261.078,-48589.472,-49302.676,-48339.207,-48365.249,-48391.292,-48417.335,-49240.485,-49843.743,-49869.786,-48851.344,-48547.549,-48573.592,-48599.635,-50000.0,-48569.262,-47633.279,-49830.751,-48729.849,-48343.596,-47407.613,-47433.656,-47459.699,-48227.876,-48061.513,-48444.88,-48938.192,-46820.293,-46241.634,-46267.677,-46293.72,-46319.762,-46345.805,-46179.443,-45023.569,-45049.612,-44196.089,-41830.811,-41609.476,-41030.817,-38912.918,-37482.179,-36985.98,-35995.024,-32365.371,-31566.82,-27799.734,-24802.269,-23234.098,-19302.094,-19108.245,-17072.802,-12728.494,-9318.7416,-7888.0031,-4560.7003,525.73473,7261.3562,13337.303,17681.604,22025.905,29751.039,34837.474,37889.912,39403.11,40777.432,39429.153,39949.951,43851.582,45004.569,45030.612,45056.655,45659.913,46483.063,45766.972,45985.42,46561.191,46587.234,46613.277,46639.32,46665.363,46691.405,46717.448,46743.491,46961.939,48169.899,47838.618,46847.663,47395.948,47669.369,46925.791,47721.454,48352.199,47443.703,48046.961,47330.87,48263.965,48482.413,48508.456,48534.499,48560.542,48586.585,48612.627,49023.48,49571.766,49240.485,49458.933,48742.842,48768.885,48794.927,48820.97,48847.013,50000.0,49064.017,47633.279,48951.185,47685.365,48838.352,47902.369,49055.356,48669.102,47733.12,47759.162,47785.205,47811.248,47837.291,47863.334,47889.377,47915.42,46787.032,46593.183,46619.226,45298.433,46561.366,45130.628,44249.618,44660.471,42652.517,42678.56,42099.901,39982.002,38633.723,37807.686,37311.486,35303.533,32416.013,31892.327,29389.617,26502.097,22295.229,20864.49,18993.969,14952.018,12449.309,10551.296,7114.0437,3401.939,-200.22821,-3747.4226,-12791.905,-17218.665,-23459.531,-27666.4,-35391.533,-37646.865,-36328.959,5,2000,4.7169811e-05,2.340298e-06,1388063800.0,0.7746389,0.99020225
-40367.383,-41933.71,-44545.217,-44571.277,-44597.337,-44623.397,-44649.457,-44675.518,-44701.578,-44727.638,-44753.698,-44779.758,-45795.99,-46207.117,-46233.177,-46259.237,-47605.525,-47686.595,-47712.655,-47546.182,-46664.585,-47790.836,-47816.896,-47842.956,-47869.016,-47895.077,-47921.137,-47947.197,-47973.257,-49016.993,-49400.615,-49426.675,-49452.736,-48131.063,-48129.618,-48293.202,-49556.977,-49583.037,-49609.097,-49635.157,-49111.122,-48944.649,-49713.338,-49739.398,-49765.458,-48828.852,-48442.341,-48468.401,-48494.461,-49813.245,-48546.582,-48572.642,-48763.731,-50000.0,-49696.003,-48676.883,-48207.857,-47353.766,-47379.826,-47405.886,-48257.089,-47017.93,-48089.171,-46739.994,-47316.149,-46324.533,-46213.07,-44891.397,-46265.19,-46291.25,-46317.311,-45628.247,-44059.032,-43975.073,-41690.734,-40946.661,-39432.455,-38248.306,-36404.043,-35549.951,-32275.441,-30293.654,-28861.963,-24734.805,-24513.323,-20303.651,-17634.243,-15899.988,-12625.481,-9213.4574,-6681.5756,-4232.2081,-1397.774,5204.8032,12467.506,17804.877,21106.892,27379.42,33431.91,37944.134,36790.379,42291.33,39814.458,43883.716,45119.986,44815.989,43796.868,44318.014,45801.826,46625.524,46651.585,46677.645,46703.705,46729.765,46755.825,46781.886,46807.946,46834.006,46860.066,46886.126,47104.72,48313.484,47981.983,47430.443,48391.665,49022.83,48443.785,47094.608,47973.316,48521.966,48548.026,48574.087,48600.147,48626.207,50000.0,47358.099,48841.911,49885.647,48756.508,49167.635,49716.285,48834.689,48860.749,48886.809,48912.869,48938.929,48964.99,48991.05,49017.11,49043.17,49069.23,49095.291,49038.837,47937.202,49173.471,49199.531,48813.02,47876.414,47902.474,47928.535,47954.595,47980.655,48006.715,48032.775,46986.15,47864.858,46873.242,46761.779,46760.334,45328.642,44089.484,44115.544,44141.604,43727.588,42818.487,42239.443,40807.751,39376.059,37944.368,37447.838,33403.194,34199.388,31227.43,30675.89,28006.485,23741.803,20714.836,16807.717,15073.473,12954.162,10642.314,5579.991,4148.3076,571.24519,-3638.4265,-11808.774,-16706.069,-23363.668,-27573.34,-34093.411,-37477.94,-38992.146,5,2000,4.7169811e-05,2.260029e-06,1388988600.0,0.43781215,0.97310615
-41933.347,-40749.781,-43524.95,-44760.611,-44786.659,-44812.706,-44838.753,-44864.801,-45550.638,-46291.457,-45492.767,-45876.201,-46369.599,-46395.646,-46421.693,-46447.741,-46473.788,-46527.327,-47900.444,-47734.053,-46852.89,-47978.586,-48004.633,-47508.348,-47286.974,-48082.776,-48108.823,-48134.87,-48160.918,-48186.965,-48213.012,-49421.182,-48375.072,-49638.224,-48372.184,-49580.354,-48369.297,-48697.748,-49411.075,-48447.439,-48473.486,-49131.832,-49900.142,-49926.189,-49072.518,-48603.723,-48629.771,-48655.818,-48681.865,-50000.0,-48733.96,-48760.007,-48786.055,-48812.102,-48838.15,-48864.197,-48890.244,-48916.292,-48282.55,-47593.826,-47619.873,-47645.92,-46682.284,-47395.612,-47724.063,-47750.11,-47776.157,-46427.644,-46343.726,-44912.739,-44031.576,-44799.887,-43368.899,-42460.245,-41881.486,-40450.499,-39789.266,-38110.857,-36157.537,-35743.725,-31371.177,-30297.576,-27794.431,-24906.409,-23392.949,-20642.383,-18771.534,-14728.869,-11840.852,-9420.1905,-6339.7307,-2434.534,1855.5334,7520.1616,12744.946,17584.849,19840.573,24652.98,29245.457,37466.775,36561.009,42059.253,39501.126,42276.295,43511.956,43867.898,44938.612,44964.659,44990.706,45676.543,46417.362,46443.409,46469.457,46495.504,46521.551,46547.599,46573.646,46599.694,46625.741,46651.788,46870.274,48078.444,47747.106,46755.978,47304.358,48182.634,48208.681,47464.974,47738.443,48286.823,48312.871,49438.567,48557.404,48391.013,48417.06,48443.107,48606.611,49649.833,48218.846,47557.613,48573.344,49149.216,50000.0,49311.276,47880.289,48208.739,48729.629,48755.676,47654.583,48642.823,48833.818,48859.866,48885.913,48911.96,48938.008,48964.055,48577.734,47641.589,47667.636,47693.684,47719.731,47745.778,47771.826,46808.189,47521.517,46695.337,46501.454,46527.502,46526.058,45205.036,44846.206,42782.921,43908.617,43494.805,42586.151,42612.198,41263.684,38375.663,38044.324,37658.003,35209.841,33421.468,30808.358,30449.529,26434.367,22144.293,19256.271,16588.179,14854.789,11966.763,8611.3805,6465.6217,6051.8159,1734.2583,-1676.0966,-9265.1079,-17046.571,-24937.999,-28018.459,-34287.901,-36378.677,-39184.226,5,2000,4.7169811e-05,2.412205e-06,1388305100.0,0.39013332,0.9858166
-42578.644,-42604.495,-42794.05,-44020.395,-44046.246,-44072.097,-44097.948,-44123.8,-44149.651,-44912.169,-45565.551,-44691.031,-45235.278,-45643.104,-45668.955,-45694.806,-47030.288,-45773.792,-47136.558,-46971.421,-46096.901,-47214.111,-47239.962,-47265.813,-47291.664,-47317.515,-48107.317,-48733.416,-47831.612,-47420.919,-48538.129,-48836.82,-48862.671,-48888.522,-48914.373,-48803.804,-47820.148,-49292.05,-50000.0,-48579.8,-48796.639,-49204.466,-48466.366,-49147.032,-49172.883,-49198.734,-49224.585,-49250.436,-49276.287,-48019.792,-47963.791,-48071.494,-49215.987,-48041.344,-48067.195,-48093.046,-48118.897,-48144.748,-47515.783,-46832.251,-46858.102,-46883.953,-46909.804,-46935.655,-46961.506,-45759.579,-45649.01,-45674.861,-45700.712,-45726.563,-45206.734,-43404.559,-44003.374,-42064.779,-40399.023,-39742.775,-39086.527,-39112.378,-36355.264,-35071.484,-32914.617,-31221.578,-26036.19,-25625.498,-22813.816,-20083.985,-18227.24,-14815.299,-13313.251,-8018.7377,-3706.4371,-649.19927,2189.7597,6502.0536,12560.537,16900.127,19766.377,24869.913,34229.748,36632.171,39416.569,40780.767,39687.976,43724.571,44950.916,44976.767,44593.359,44646.494,45845.556,45080.172,45106.023,45950.393,45621.552,46165.799,46573.625,46599.476,46625.327,46651.178,46677.029,46702.88,46919.719,48118.781,47789.94,46806.284,47350.531,48222.185,47565.937,47673.64,47453.935,47889.046,48351.44,49468.65,48594.13,48428.993,48454.844,48480.695,48642.966,49678.324,48558.248,48966.075,49974.149,50000.0,49398.32,48687.503,49504.59,49230.317,48765.056,49827.698,49062.314,48842.61,48868.461,48894.312,47555.964,47581.815,47607.666,47633.517,47659.368,47685.219,47711.07,47736.921,47762.772,47788.623,47814.474,46858.102,47566.053,46746.1,46553.68,45269.9,45241.183,45157.898,43928.686,43954.537,43625.697,42642.041,42667.892,42693.743,40673.296,38652.849,38678.7,36849.241,34992.498,33572.298,32152.099,28221.774,26583.303,25053.967,20741.667,16865.91,15445.71,13261.555,10340.728,9275.2196,5153.9132,104.95277,-3416.1126,-8901.6152,-15151.083,-20909.438,-23311.86,-30734.534,-35537.946,-38486.048,5,2000,4.7169811e-05,2.119876e-06,1377839200.0,0.30548948,0.9961111
-43105.443,-39183.478,-42115.578,-44554.185,-44580.162,-44606.138,-44632.115,-44658.091,-44684.067,-45450.283,-46106.833,-46132.809,-46158.786,-46184.762,-46210.738,-46236.715,-46262.691,-46316.084,-47685.457,-47711.433,-47737.41,-47763.386,-47789.362,-47815.339,-47841.315,-47867.291,-47893.268,-47919.244,-47945.22,-50000.0,-48545.498,-49202.049,-49419.939,-49445.915,-49417.059,-48264.136,-49304.514,-48480.587,-49575.797,-49601.773,-49079.425,-48913.487,-48966.88,-48334.866,-48360.842,-49346.388,-49783.608,-49809.584,-48629.245,-49779.288,-49887.513,-49831.241,-48568.653,-48594.629,-48620.606,-48646.582,-48179.066,-47327.722,-48011.688,-48010.249,-47405.651,-47431.627,-47457.604,-46414.346,-46138.743,-46164.72,-46190.696,-46216.672,-46242.649,-46268.625,-46020.439,-44593.354,-44043.588,-43438.991,-40915.255,-40941.231,-39431.897,-38251.558,-36413.229,-35561.885,-32297.91,-31501.399,-27743.931,-26097.516,-23244.785,-20501.719,-19074.634,-17044.387,-13094.999,-10214.862,-6238.065,-2974.091,-148.77562,7227.6388,14165.392,16113.387,19212.864,28042.339,36981.48,37942.489,39287.326,42028.952,39477.8,42245.402,43724.44,44874.483,44900.459,44926.436,45528.154,46349.201,45634.939,45852.829,46427.131,46453.107,46479.083,46505.06,46531.036,46557.012,46582.989,46608.965,46634.941,46935.08,47701.296,47151.531,47588.751,47367.981,48161.613,48187.589,48213.565,48239.542,48265.518,47194.844,49304.456,49714.26,48396.84,48395.4,48421.376,48447.353,48473.329,48499.305,48525.282,48551.258,48577.234,49316.033,50000.0,49148.656,48681.14,48707.116,48733.092,48759.069,47496.481,48811.022,47548.434,48862.974,48642.204,47873.109,48529.659,47596.067,47622.043,47648.019,47673.996,47699.972,47725.948,46764.94,47476.322,47803.878,46596.122,46485.017,46510.994,46427.305,45192.133,44943.947,43516.862,42528.437,42554.413,40770.916,38493.927,38519.903,37695.975,37201.043,35198.216,33414.719,31987.634,28038.252,26391.837,24855.086,20796.04,18930.295,15501.822,13992.484,9604.4327,6532.3773,2637.8368,497.92868,-6357.5681,-12116.417,-18834.85,-26485.43,-24732.23,-28791.276,-34577.547,-38993.004,5,2000,4.7169811e-05,2.35126e-06,1384519700.0,0.8149989,0.99104726
-39938.02,-41412.632,-42887.245,-43869.841,-43103.047,-44167.646,-44193.545,-44219.444,-44245.342,-44271.241,-45117.166,-45689.749,-45715.648,-45741.546,-45767.445,-45793.343,-45819.242,-47211.852,-47128.413,-46088.278,-47289.548,-47315.446,-47341.345,-47367.243,-47393.142,-47419.041,-48210.297,-47990.188,-48426.1,-47877.98,-48641.903,-47765.772,-48857.705,-48992.941,-48964.171,-47951.369,-50000.0,-47729.824,-48138.402,-48683.651,-48900.889,-49309.467,-47859.317,-48677.908,-48403.131,-48893.711,-48290.923,-47988.811,-48014.709,-49325.316,-46699.795,-49377.113,-48282.309,-49264.905,-48170.101,-48196.0,-48221.898,-48247.797,-48273.695,-47561.57,-46958.782,-46984.68,-47010.579,-47036.478,-45914.339,-46951.604,-45802.131,-45773.361,-45689.923,-44458.447,-44484.346,-44510.245,-43661.448,-41309.27,-40487.808,-40513.706,-39774.247,-37504.071,-36491.269,-35505.802,-32989.618,-31293.461,-27355.898,-24375.032,-24182.257,-19998.686,-17564.505,-16688.371,-12750.801,-9879.2827,-7007.7542,-2878.8515,1468.7249,9096.4076,12787.963,15140.141,22576.484,30122.164,37339.834,36849.254,38108.063,42208.196,39500.673,40018.587,43898.611,45045.212,45071.111,45097.01,45696.927,45859.497,45174.706,46020.631,46593.214,46619.112,46645.011,46670.91,46696.808,46722.707,46748.606,46774.504,46991.742,48193.012,47863.566,47315.446,47751.358,46929.896,46955.795,47747.051,47526.942,47962.854,48426.1,49545.367,49844.608,49870.507,48557.029,48555.593,48581.492,48826.064,50000.0,49643.22,49149.768,49531.012,48736.884,48052.092,48214.662,48814.579,49797.176,49194.387,48892.275,48918.174,48944.073,48969.971,48995.87,48857.763,47680.956,47706.855,48142.767,48633.347,47784.551,47810.449,47836.348,47862.247,47888.145,47914.044,47939.942,46817.804,45394.989,46596.259,46649.492,45336.014,45170.573,44021.1,43691.654,42706.186,42732.085,41555.278,40050.46,40076.359,38407.536,36465.371,35042.556,33619.741,31021.554,30664.774,26672.542,21149.595,20902.151,18249.296,16826.481,14638.308,10318.061,6544.4997,3672.9794,801.45084,-2070.0769,-11939.166,-17790.125,-21290.341,-25610.583,-27525.414,-35371.77,-38571.309,5,2000,4.7169811e-05,2.130297e-06,1380376700.0,0.82263297,0.9982363
-41814.402,-41923.061,-43408.035,-44645.271,-44671.352,-44697.432,-45218.986,-45547.855,-44775.674,-45544.964,-46204.149,-46230.23,-46256.31,-46282.391,-47464.575,-46472.183,-46360.632,-47763.027,-47789.107,-47815.188,-47841.269,-47867.349,-47893.43,-47396.511,-46569.277,-47283.515,-47997.752,-48023.833,-48049.913,-48075.994,-48102.074,-48128.155,-48154.236,-49529.104,-48206.397,-48370.109,-49414.661,-48587.428,-49687.033,-49245.167,-48362.88,-48388.961,-48415.042,-49239.384,-48962.676,-48493.283,-48519.364,-49674.022,-48736.683,-47303.871,-50000.0,-48649.767,-48675.848,-48701.928,-49058.324,-49717.509,-48284.697,-47429.937,-46795.387,-46848.994,-48333.967,-48002.206,-46569.394,-46210.107,-46236.187,-47500.95,-46343.401,-46314.429,-46340.51,-46173.906,-44741.095,-44023.966,-44628.098,-43718.285,-42533.21,-40329.662,-39667.586,-37987.038,-36031.227,-33579.943,-32890.34,-31732.791,-30299.979,-26169.593,-20607.84,-20358.658,-17907.374,-17327.873,-14050.794,-10168.154,-7276.4497,-4384.746,2801.0496,8060.0074,10676.458,14063.64,22185.336,28985.772,32372.949,37852.123,39532.671,40908.985,39806.488,43713.773,43987.59,44811.933,44204.909,45194.409,45798.542,45962.254,46015.86,46675.045,46701.126,46727.206,46753.287,46779.368,46805.448,46831.529,46857.609,46993.795,48093.4,46935.851,47319.773,47923.906,47014.093,47645.752,47754.411,47863.07,49348.044,48961.23,48546.89,47471.92,49589.997,48735.237,50000.0,48732.346,49942.056,48949.665,49829.06,48781.616,48807.696,49384.302,48969.962,48225.307,48912.019,48938.099,48964.18,47944.262,48768.604,49042.422,47774.767,49094.583,47826.928,48981.586,47796.511,47822.591,47848.672,47874.753,47900.833,47926.914,47952.994,47979.075,48005.156,48031.236,46983.792,46707.084,46733.164,46759.245,45409.012,45435.092,45268.489,44110.94,43779.179,42786.788,42812.868,42233.371,40800.559,39367.747,39641.564,37382.964,36087.783,32810.711,32011.004,29504.667,26612.963,21078.736,20967.186,19314.163,16422.459,13916.123,11547.413,7747.3322,4855.6343,532.57125,-3680.3942,-10976.293,-15381.938,-20998.754,-27138.561,-32948.051,-37463.805,-39061.775,5,2000,4.7169811e-05,2.288172e-06,1390075400.0,0.5701107,0.9713768
-40532.534,-43396.809,-44718.003,-44744.11,-44770.218,-44796.326,-44822.434,-44848.542,-45535.97,-46278.508,-46304.616,-46330.724,-46356.832,-46382.94,-46409.048,-46435.155,-46461.263,-46514.926,-47781.01,-46732.472,-47943.445,-47969.553,-47995.661,-48021.769,-47441.666,-47385.109,-48100.092,-48126.2,-49089.179,-48536.631,-48204.524,-48230.632,-48256.739,-48282.847,-49631.596,-48472.838,-49738.922,-49765.03,-49791.137,-49348.81,-48465.602,-48491.71,-49234.248,-49921.677,-49066.024,-49560.567,-50000.0,-48896.352,-48674.465,-49995.658,-48726.68,-48670.123,-47566.475,-48805.004,-48831.112,-48857.22,-48387.337,-48110.34,-48935.543,-48217.665,-47610.008,-47636.116,-48654.204,-46916.791,-46336.688,-47602.772,-47766.655,-46415.012,-46441.119,-46274.342,-45391.134,-45803.012,-43349.169,-42438.406,-41858.303,-41112.87,-39595.897,-38409.584,-37498.821,-35044.977,-33252.454,-29448.414,-28895.867,-26221.583,-22004.218,-20294.358,-16380.085,-15551.988,-14338.123,-8412.3572,-6785.1639,-3063.7892,2696.6498,7437.5536,10635.392,14990.537,19345.677,24830.573,33070.971,37922.102,39521.74,40899.491,41090.929,43707.208,43485.321,43373.654,46127.709,45189.391,45215.499,45241.606,45267.714,46120.473,46697.681,46723.789,46749.896,46776.004,46802.112,46828.22,46854.328,46880.436,47099.429,48034.852,47316.974,48362.618,47865.18,47037.083,47752.066,48467.049,48493.157,48519.265,48545.373,48571.481,48597.588,48623.696,50000.0,48675.912,48702.02,48728.128,48754.235,48780.343,48806.451,48832.559,48858.667,48884.775,48910.882,48936.99,48963.098,48989.206,49015.314,49041.422,49067.529,49093.637,47824.659,48980.523,48042.205,49198.069,48810.851,47872.533,47898.641,47924.749,47950.857,47976.965,47093.757,47643.41,46980.642,46703.645,46729.753,46755.861,45404.217,45320.105,44078.682,44104.79,43772.683,42779.255,42805.363,42225.26,40102.076,38750.433,37922.335,37424.898,35411.934,34721.612,32377.988,28215.733,26560.984,23693.815,20936.866,19061.678,15312.748,13106.895,8751.7451,6049.9061,4808.4894,1197.3423,-3956.8935,-9772.4408,-18481.279,-21348.452,-24711.612,-29066.752,-34716.978,-39154.783,5,2000,4.7169811e-05,2.325696e-06,1391527100.0,0.41971934,0.99486876
