E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127,E128,E129,E130,E131,E132,E133,E134,E135,E136,E137,E138,E139,E140,E141,E142,E143,E144,E145,E146,E147,E148,E149,E150,E151,E152,E153,E154,E155,E156,E157,E158,E159,E160,E161,E162,E163,E164,E165,E166,E167,E168,E169,E170,E171,E172,E173,E174,E175,E176,E177,E178,E179,E180,E181,E182,E183,E184,E185,E186,E187,E188,E189,E190,E191,E192,E193,E194,E195,E196,E197,E198,E199,E200,E201,E202,fname,deltaX,mX,deltaY,mY,sigmac
-42525.385,-42626.355,-44211.792,-44540.847,-45920.919,-45929.821,-46551.107,-47631.149,-47648.36,-47664.384,-47686.986,-47702.691,-47718.45,-47722.628,-47747.554,-47752.302,-49382.158,-47830.389,-49480.936,-49265.261,-48189.728,-49528.173,-49543.864,-49559.617,-49575.328,-49591.061,-49598.437,-49616.835,-49638.257,-49643.031,-49666.77,-49685.393,-49687.458,-49702.08,-49732.642,-49746.805,-49751.553,-49779.761,-49799.708,-49821.073,-49821.073,-49834.723,-49858.418,-49874.154,-49889.862,-49905.618,-49921.306,-49924.847,-49950.96,-48414.406,-48316.101,-50000.0,-49813.697,-48648.717,-49635.527,-48394.677,-48410.432,-47719.275,-47566.709,-47556.835,-46805.227,-47921.917,-48494.142,-47216.175,-45466.916,-45202.382,-46832.238,-43579.013,-43594.815,-43608.388,-43614.323,-43638.062,-43113.767,-40743.103,-38699.525,-38707.881,-38716.143,-37697.667,-37079.493,-34626.352,-31105.632,-30454.177,-27400.546,-23879.826,-23747.263,-21664.066,-16933.251,-15165.033,-12933.879,-9980.3272,-6899.2623,-2386.5664,2869.0105,7991.1411,11511.894,16200.298,18953.695,24809.747,31866.973,38924.073,39323.53,42644.964,41177.937,44531.711,46028.432,46044.207,46059.896,46070.34,46088.999,46922.614,47797.781,47806.633,47822.382,47838.077,47853.846,47869.521,49373.316,49568.629,49537.044,47932.422,47946.149,48282.752,49207.01,48005.496,48645.042,49695.002,48876.593,48992.411,49742.188,49757.89,48539.139,49455.682,49805.116,49807.205,49836.285,49852.229,49868.028,49616.771,48598.228,49919.288,49935.637,49937.769,49976.01,49984.57,49987.537,50000.0,48853.106,49640.671,48688.855,48404.236,48420.032,48435.68,48437.461,48468.915,48495.027,48498.608,48514.374,48524.701,48537.164,48554.375,47661.661,46919.006,46940.612,46945.628,46957.266,45584.135,45335.39,45336.882,43698.757,43714.408,43730.201,43742.888,43313.02,41565.253,40456.797,40472.54,38820.084,37167.722,35114.998,36121.461,32273.318,30569.911,30563.158,27518.946,27254.411,23748.309,18792.884,17038.107,14542.342,10199.188,7879.5314,5026.0618,4034.0775,-287.64037,-5235.8317,-9123.542,-14422.866,-20972.804,-25302.778,-33216.939,-37336.403,-40857.123,1,2000,4.7169811e-05,2.940536e-06,1676476100.0,0.015037745
-42511.483,-42713.34,-45877.549,-45893.327,-45905.419,-45914.317,-46540.679,-47623.494,-47639.205,-47662.977,-47676.62,-47686.352,-47702.104,-49006.78,-47997.963,-47749.211,-47765.002,-49433.501,-49462.567,-49464.655,-49483.413,-49510.974,-49526.659,-49542.403,-49558.108,-49573.833,-49581.206,-49599.595,-49621.007,-49636.691,-49652.456,-49655.439,-49669.005,-49699.251,-49715.348,-49730.995,-49746.777,-49762.445,-49782.382,-49803.737,-49803.737,-49817.38,-49841.064,-49856.792,-49872.494,-48731.448,-49507.308,-48552.361,-48268.024,-48283.674,-48299.473,-49982.58,-50000.0,-49725.985,-48365.91,-48388.452,-48393.76,-48415.655,-47632.55,-46773.603,-46780.463,-46809.771,-46814.251,-46833.257,-45451.63,-46701.22,-45268.665,-43612.279,-45233.998,-45029.95,-43611.84,-43193.97,-41975.847,-41352.411,-39604.602,-38703.15,-37768.572,-37046.857,-35934.386,-32959.774,-32100.441,-30692.063,-25860.867,-23841.353,-20503.214,-20169.744,-17170.886,-16089.419,-11748.253,-8867.8219,-4919.1092,-3151.718,2068.3344,7989.8606,11505.693,17343.345,21869.576,24024.985,34580.236,37518.416,39298.897,42633.681,41153.316,44317.525,44630.764,46005.076,46032.091,46042.531,46054.988,46879.576,47762.298,47778.006,47783.904,47805.259,47825.197,47840.864,47856.646,47872.293,47921.143,49424.093,48152.968,49266.183,47939.914,48495.454,49012.635,48733.563,49673.828,49680.306,48667.544,49194.752,49744.099,49747.977,49760.658,49790.01,49806.998,49822.639,49836.956,49572.546,48557.726,49422.82,48810.598,49922.885,49947.541,49096.262,49278.721,49975.709,49991.102,50000.0,48657.128,48362.351,48390.231,48392.011,48336.378,46972.744,48466.076,48466.076,48474.974,48501.105,48516.843,48532.554,48548.272,47563.618,46912.393,46928.144,46943.822,45571.441,45309.418,45309.418,45339.372,45222.811,43714.11,43707.36,43734.922,43217.014,42098.939,41381.058,39629.342,37877.72,37159.809,34918.041,31392.715,30537.602,29132.063,28902.768,25649.295,20529.616,18777.917,16759.582,13607.327,11388.765,7302.8002,4011.2288,1730.7545,-1813.3505,-5506.2659,-10792.711,-14922.398,-20969.05,-26652.086,-30471.265,-38678.276,-39191.613,1,2000,4.7169811e-05,2.944188e-06,1675686800.0,0.026826113
-42520.328,-42722.042,-45885.785,-45911.868,-45918.981,-46441.345,-47613.002,-46928.954,-46778.041,-47652.179,-46661.342,-47129.828,-47711.456,-49011.038,-48002.934,-47754.357,-49355.477,-49452.062,-49333.213,-48035.717,-49154.074,-48277.984,-49515.76,-48909.513,-48630.638,-49570.239,-49585.058,-49603.434,-49614.697,-49625.725,-49653.311,-49671.911,-49673.974,-49688.579,-49719.105,-49736.215,-49762.89,-49766.169,-49781.919,-49797.596,-49813.326,-49822.168,-49837.58,-49860.45,-49866.71,-49887.457,-48629.962,-49608.498,-49937.166,-49954.731,-49955.626,-48405.977,-50000.0,-49705.431,-48367.044,-48382.714,-48398.451,-47714.367,-46756.654,-46772.659,-46795.135,-46820.59,-46841.398,-46845.571,-45458.399,-45207.437,-45223.218,-45238.55,-45106.452,-43591.471,-43619.908,-43202.334,-41985.07,-41367.674,-39610.711,-37859.432,-37974.219,-37692.692,-35947.876,-34208.425,-32461.821,-30698.67,-27413.288,-25514.913,-22113.503,-20209.187,-16945.861,-14462.316,-10579.174,-9461.885,-5951.2385,-1677.1181,4479.7184,10560.744,12657.122,16140.672,21418.927,26701.604,30518.085,38733.309,40898.405,42549.8,42752.408,45724.879,44550.838,45945.043,45960.713,45976.45,45992.14,46800.526,46783.209,47038.942,47721.125,47747.532,47755.831,47755.831,47782.505,47799.616,47815.108,47950.77,49279.682,47862.463,48311.454,49017.489,48524.441,48864.928,48781.548,49622.949,49638.672,49654.356,49670.099,49673.974,49699.463,49703.613,49732.659,49748.583,49762.89,49501.025,48492.816,49796.655,49817.342,49836.903,49077.262,48200.92,48223.791,49296.374,49906.613,48678.549,49655.555,48502.23,48318.072,50000.0,49900.916,48552.097,49747.123,48400.092,47922.779,47361.659,48443.71,48459.41,47575.406,46833.548,45745.757,46378.887,46868.521,45487.87,45237.059,45267.003,43602.352,43617.986,43633.759,43316.153,41998.912,42014.655,41391.546,40371.586,38729.42,37079.003,37094.697,34844.378,32560.738,30822.181,29062.01,27309.468,23926.181,22075.145,18712.525,16975.458,14491.871,10142.203,7825.2756,4314.6258,3092.6205,534.11968,-6499.0258,-13551.143,-19439.026,-22189.199,-29392.504,-30886.716,-37137.517,-40854.03,1,2000,4.7169811e-05,2.9674e-06,1674503300.0,0.021945238
-44144.493,-44260.264,-45842.801,-45848.144,-45876.066,-45882.932,-46489.248,-47585.717,-47599.965,-46730.371,-46977.633,-47654.823,-47670.587,-47686.277,-47689.524,-47716.238,-49335.415,-49417.977,-49433.634,-49449.431,-49468.059,-49487.969,-48943.035,-48459.284,-49528.056,-49543.793,-49551.172,-49569.575,-49591.004,-49606.701,-49622.478,-49638.155,-49653.952,-49669.609,-49671.091,-49699.587,-49701.975,-49721.043,-49752.507,-49768.804,-49776.797,-49803.562,-49803.562,-49820.778,-49842.69,-49858.45,-48594.646,-49574.647,-49903.807,-49921.399,-48268.427,-49952.863,-49770.062,-48628.146,-50000.0,-49515.183,-47762.084,-47404.432,-48386.482,-47500.86,-46751.103,-46762.976,-46773.722,-45499.396,-45151.329,-45166.999,-45182.804,-45213.084,-45080.774,-43561.306,-43577.094,-43588.9,-42535.201,-40296.092,-39568.39,-39484.0,-38465.18,-37003.284,-35888.803,-34140.481,-33722.416,-29432.897,-25677.425,-23791.001,-23573.04,-18783.053,-17997.824,-13441.405,-11684.199,-9920.4557,-6838.4104,-3085.0342,1271.4365,7355.8947,11578.604,15100.463,21158.613,28218.075,35264.443,37630.348,41052.956,42736.506,44506.144,45888.425,44722.927,46110.562,46137.599,46748.751,47829.138,47045.414,47086.756,47878.922,47890.795,47901.541,47928.873,47947.8,47963.594,47950.758,47980.438,48009.527,48013.683,48375.92,49726.641,49198.95,48065.415,48096.879,48955.277,48870.886,48152.335,49302.756,49852.537,49856.418,49869.109,49898.484,49915.485,49930.542,49935.002,49975.15,49978.397,49989.908,50000.0,49352.141,49145.842,49203.511,48412.623,49483.565,48931.698,48440.016,48464.356,48482.685,48484.456,48514.139,48529.95,48545.614,48561.404,48577.088,48592.858,48608.562,48630.581,47839.693,46972.307,46996.982,45907.453,46562.966,45760.034,46801.215,44091.262,43760.488,45410.961,43791.365,43805.097,43811.033,43404.774,42190.412,42216.204,42218.86,40556.729,37968.433,37243.492,37269.348,32350.515,30630.879,29211.539,28993.574,24103.461,20562.577,17193.27,15442.559,14065.849,13135.56,9046.4001,5090.7083,4091.5812,-231.80866,-4206.6241,-10598.571,-17691.352,-20445.61,-26303.586,-28970.743,-35417.262,-39153.378,1,2000,4.7169811e-05,2.902941e-06,1677009500.0,0.025710851
-42525.43,-42611.596,-44394.36,-45879.859,-45907.755,-45923.512,-45939.201,-46655.114,-46837.532,-47786.909,-48336.084,-47675.145,-47696.498,-47704.801,-47729.712,-47747.727,-47749.201,-49431.796,-49328.671,-48043.993,-49493.496,-49509.259,-49524.941,-49535.081,-49541.569,-49557.281,-49572.994,-49597.868,-49629.303,-49649.827,-49665.5,-49668.449,-49682.167,-49683.36,-49713.606,-49729.251,-49745.031,-49760.696,-49776.456,-49792.142,-49807.881,-49823.587,-49831.639,-49848.839,-49870.731,-49886.477,-48646.373,-48253.349,-49733.51,-48382.146,-49965.006,-48413.581,-49994.662,-50000.0,-49627.755,-48376.446,-47792.039,-46740.801,-46756.527,-47672.475,-47454.788,-46803.691,-46819.377,-45534.676,-45183.686,-45199.341,-45215.131,-45197.428,-43711.66,-45018.206,-43622.693,-43630.404,-43118.88,-41357.368,-39605.882,-38680.568,-38688.919,-37680.271,-34800.83,-33760.556,-31100.789,-30446.743,-25861.074,-23828.39,-22024.837,-18671.465,-16644.674,-13877.998,-12474.347,-8332.915,-5914.6182,-869.08537,3582.8131,7275.2442,13627.944,16012.943,21065.267,28118.236,32237.02,35755.621,40941.313,42608.402,41257.038,45772.334,44610.592,46005.599,46021.278,46037.024,46752.901,47742.697,46865.851,47114.973,47777.932,47794.214,47814.149,47829.814,46358.483,49395.713,49510.784,47892.678,48141.877,49260.878,48388.117,49632.798,49638.464,49654.197,49669.91,48743.701,49062.194,49707.021,49739.877,49739.626,49762.181,49766.333,49795.395,49811.329,49828.61,49855.3,49855.3,49859.428,49885.197,49241.811,49013.113,49929.356,49938.004,49953.703,49979.77,50000.0,48648.655,48364.208,48365.977,48395.633,48412.324,48441.97,48457.629,48469.856,48474.279,48489.969,47811.79,47662.281,47636.901,47886.023,46358.155,46456.87,46936.134,45548.163,45310.478,45313.444,45280.695,43676.01,43680.162,43708.648,43720.577,42672.566,41073.433,41370.855,38785.824,37134.457,37150.16,34898.546,32613.591,30862.239,29110.786,27373.018,25608.112,19002.586,20271.21,17283.718,16556.686,12582.799,7297.0658,4672.7821,4152.9467,-216.85,-6462.4242,-12457.869,-15414.981,-20967.518,-28008.292,-35071.592,-38992.084,-40843.428,1,2000,4.7169811e-05,2.947039e-06,1675467100.0,0.027580917
-41396.364,-40060.756,-44722.72,-44738.312,-44757.296,-44779.571,-45378.027,-46448.068,-46463.594,-46471.257,-45500.26,-45949.988,-46525.75,-46541.243,-47940.845,-46750.329,-46588.496,-46636.316,-48134.8,-46865.111,-48297.702,-48309.493,-48314.156,-48335.202,-48353.374,-48368.029,-48399.098,-48411.994,-48422.016,-47218.262,-48111.776,-48466.51,-50000.0,-48532.585,-48501.096,-48530.707,-48543.971,-48550.419,-48573.28,-48583.246,-48602.59,-48616.073,-48639.477,-48655.02,-47616.047,-48202.007,-48694.017,-47363.354,-48534.916,-48748.255,-47101.334,-48765.47,-48794.789,-48810.381,-48433.932,-47199.58,-47199.815,-47224.763,-46449.439,-45608.203,-45623.725,-45629.554,-45650.657,-45670.359,-44314.066,-44041.992,-45636.416,-42484.173,-43956.129,-42480.825,-42483.739,-42070.8,-40339.802,-39234.966,-38531.936,-37625.672,-36719.407,-36007.343,-34896.857,-33165.806,-30128.434,-29475.241,-27959.261,-24626.787,-19581.235,-17823.564,-15842.11,-13452.032,-13372.813,-8154.2897,-4244.5398,-2508.8433,1800.7518,7808.6886,11987.617,16603.259,19325.301,27803.26,29577.464,38856.605,39448.891,42729.597,41381.176,46068.922,46071.575,46087.157,46102.653,46706.12,47074.721,46932.477,47804.49,47813.333,47838.573,46672.73,47523.491,47892.42,47905.684,47921.147,49551.74,48096.422,49372.255,47983.297,48431.093,49135.412,48011.762,48776.899,49708.714,49701.345,49728.655,49755.302,48551.495,49445.141,49787.234,49802.833,49832.736,49834.494,49864.089,49879.562,49895.147,49453.381,48848.382,49282.596,48302.756,49182.433,49985.991,48944.034,48371.692,49628.319,48696.723,48418.247,48433.849,48434.733,50000.0,48480.383,48495.976,48511.462,48527.034,47954.636,47610.914,47789.746,46948.215,46948.215,46957.942,46984.056,45729.836,45373.768,45373.768,43806.182,43770.468,43785.927,43801.526,43817.006,43400.366,42712.952,43228.403,40781.528,38951.619,38052.64,36328.074,34587.114,34070.776,32756.364,31035.04,26287.803,24280.015,19333.289,19169.999,17436.739,15696.551,13515.666,9482.9159,6233.9968,3964.8837,-1251.2922,-2661.2638,-6168.5344,-15440.636,-20906.513,-25726.685,-32385.206,-33172.576,-38100.92,1,2000,4.7169811e-05,2.573634e-06,1655918500.0,0.01066193
-42543.07,-45895.114,-45921.21,-45913.423,-45937.749,-46442.526,-47025.286,-46686.563,-46879.188,-47821.14,-47360.953,-47146.991,-48935.552,-48105.892,-47763.923,-47768.67,-49398.116,-49466.603,-49496.869,-49510.592,-49516.526,-49110.498,-48420.99,-49566.281,-49591.237,-49606.965,-49614.34,-49632.733,-49644.006,-49655.045,-49682.656,-49701.274,-49703.339,-49717.957,-49748.512,-49762.671,-49767.417,-49795.619,-49811.384,-49827.075,-49842.82,-49858.531,-49874.256,-48922.639,-48237.958,-48253.653,-49536.846,-49952.9,-48501.011,-48316.525,-50000.0,-48347.971,-48563.904,-49747.057,-48395.199,-48410.883,-47820.963,-47460.269,-47649.831,-46806.122,-46812.984,-47933.228,-47309.599,-46865.79,-46897.236,-45400.926,-43647.495,-45230.753,-43612.231,-43629.954,-43655.467,-43659.345,-43675.103,-41800.863,-38719.965,-38719.07,-37800.891,-37082.853,-35964.533,-34223.472,-31129.179,-30474.904,-25887.63,-23868.853,-23570.742,-17374.675,-18068.892,-13536.726,-11773.106,-10016.004,-7587.0789,-2546.5941,1898.8487,6559.8441,12547.901,16668.115,17664.294,23110.074,30162.719,35664.429,40952.891,42605.815,45857.798,44518.192,45988.429,46000.661,46009.561,46035.637,46751.765,47734.747,47750.471,47766.183,47781.927,47797.619,47813.384,47829.055,47858.114,47846.921,49495.863,47878.371,47905.664,47908.614,48365.6,49632.669,49638.338,48926.789,48843.332,48743.262,48018.66,49168.49,49728.872,49748.384,49764.163,49779.82,49795.619,49811.263,49828.55,49855.249,49861.776,49889.045,49904.736,49908.615,49139.32,49121.688,49946.537,49968.544,49984.238,50000.0,48648.182,48363.635,48379.427,48395.071,48395.966,48411.758,48129.896,47186.972,48463.304,48489.44,48505.181,48520.896,48528.653,47545.849,46900.38,45715.29,46553.387,45544.245,45295.562,45311.213,43659.342,43673.796,43444.475,42372.307,43292.454,42613.913,43125.539,41376.094,38789.357,37136.517,37145.661,36027.278,33041.1,30855.54,30537.673,27484.788,23964.955,23699.602,18592.962,15339.983,13221.125,10172.369,8420.9101,5988.117,3244.3366,625.07412,-2903.3622,-7496.7577,-17443.591,-22193.118,-25312.71,-33235.2,-34234.034,-40875.229,1,2000,4.7169811e-05,2.957482e-06,1676053600.0,0.025134653
-44243.991,-44359.659,-45944.355,-45973.138,-45985.366,-45989.789,-46600.284,-47673.522,-47703.484,-47718.61,-47729.622,-47761.058,-48982.225,-48152.696,-47785.886,-47812.577,-49430.321,-49512.811,-49395.068,-48110.345,-49559.9,-49575.663,-49048.315,-48554.966,-49609.743,-49616.315,-49639.4,-49664.275,-49675.544,-49697.49,-49717.131,-49732.794,-49748.577,-49764.22,-49765.701,-49794.172,-49796.558,-49812.328,-49832.132,-49853.485,-49865.348,-49890.002,-49905.721,-49930.0,-48875.481,-49452.75,-48690.208,-49681.57,-50000.0,-48448.51,-48364.278,-48379.917,-48595.782,-49778.562,-48427.13,-48442.81,-48458.556,-48474.256,-48489.982,-48513.664,-48527.306,-47426.988,-46881.511,-46901.446,-45504.181,-46764.686,-45348.076,-45263.68,-43645.667,-43661.32,-43674.145,-43677.978,-43164.892,-41423.484,-39671.936,-37920.472,-37102.61,-37118.344,-37134.037,-34693.321,-31178.473,-30514.562,-27460.574,-25561.04,-23677.172,-18751.609,-16720.002,-13568.06,-11816.561,-10626.854,-7971.2153,-1693.8556,1858.2095,6510.6206,13563.768,17115.855,21401.469,26675.282,30504.415,37159.307,39225.696,42545.249,44228.194,44242.054,44547.509,45942.566,45958.245,45973.992,45989.692,46805.65,46788.026,47037.134,47719.733,47724.803,47747.935,47766.845,47782.625,47812.587,47814.068,47829.711,48076.831,49519.493,49551.271,49549.726,48947.646,47925.839,48765.975,49622.718,49638.452,48520.484,49247.35,49688.52,49701.344,49716.997,49732.79,49748.43,49762.745,49767.491,49795.646,49336.17,48140.24,48842.479,49858.498,49874.215,49889.925,49896.117,48749.873,49536.992,48585.715,48301.258,48330.904,50000.0,48348.481,48364.13,48377.253,48384.371,48411.333,48427.023,48436.567,47643.413,46792.215,46807.922,45733.075,46387.411,45569.513,45218.37,45234.15,45235.641,45232.548,43627.806,43631.958,43657.463,43227.838,42538.547,43049.961,41307.658,38722.536,37071.111,37086.814,35958.756,34213.524,31132.134,29047.156,27295.608,25544.06,22059.274,18720.104,16688.542,13900.118,12041.155,7266.0047,5953.9019,3197.3426,-1155.5668,-5302.19,-12385.436,-18309.954,-25611.726,-24879.627,-30137.642,-32503.244,-39257.29,1,2000,4.7169811e-05,2.985628e-06,1675526200.0,0.019046009
-44182.947,-41065.327,-44412.589,-45884.556,-45912.444,-45923.774,-45934.447,-45953.422,-46767.632,-47665.704,-46670.422,-47117.349,-47704.815,-49008.956,-48000.553,-47751.902,-47767.688,-47768.877,-47799.111,-48046.022,-49482.412,-49501.912,-49528.622,-49538.759,-49551.804,-49575.776,-49583.146,-49601.528,-49612.794,-49634.733,-49654.367,-49670.025,-49672.089,-49701.143,-49702.922,-49732.874,-49748.65,-49764.311,-49784.24,-49805.586,-49805.586,-49812.367,-49835.743,-49858.62,-49874.315,-49890.056,-48627.766,-48264.271,-49738.921,-49952.929,-49968.564,-48417.571,-50000.0,-49715.779,-48364.771,-48380.446,-48396.188,-48405.621,-47612.797,-47661.841,-47453.082,-46798.292,-46819.638,-46839.567,-45455.263,-45190.962,-45219.423,-45187.87,-43718.141,-45031.669,-43601.353,-43620.988,-43114.324,-41996.643,-40545.638,-38694.726,-37777.125,-37050.295,-35927.014,-34187.047,-32439.925,-30689.071,-30471.392,-23953.847,-23636.739,-18698.574,-17198.566,-16101.829,-11750.88,-8871.63,-4930.4657,-3179.5122,1171.4413,7255.7232,12540.012,17813.954,21838.342,24004.955,27212.264,35428.155,40927.143,44245.652,41128.032,44275.3,44580.659,45975.277,45990.952,46001.387,46013.839,46038.11,46953.802,47727.307,47746.874,47767.567,47771.694,47796.598,46301.379,47763.138,49479.484,47861.829,48110.959,49229.647,48357.13,49068.144,47934.839,48681.199,48805.169,48920.885,48636.59,49152.316,49701.438,49705.314,49730.811,49748.522,49764.311,49779.945,49797.221,49821.519,49815.519,49838.644,49843.712,49859.447,49875.149,49890.864,49915.134,49927.586,49938.022,48698.264,49684.206,50000.0,48435.004,48364.644,48394.292,48394.292,48396.975,48419.852,48453.587,48458.953,47768.512,47616.08,48498.142,47515.955,46861.164,46882.51,46913.937,45507.972,46765.572,45335.239,45298.517,45180.825,43663.308,43678.966,43261.402,42043.724,42053.747,40606.648,37931.573,37114.863,37127.908,34871.321,32587.004,32157.514,30737.037,27452.768,23949.593,22032.823,17096.217,15345.219,13590.978,11828.493,8944.2027,4993.2514,3242.2968,-241.9899,-5526.2759,-14001.072,-18757.06,-25567.865,-28927.384,-32147.665,-35665.285,-39197.812,1,2000,4.7169811e-05,2.957482e-06,1674999800.0,0.012334347
-41517.434,-43182.096,-43397.386,-44874.491,-44874.491,-44883.292,-45497.537,-45872.68,-45731.858,-46612.95,-47607.208,-47182.211,-46636.947,-46652.537,-46668.035,-46683.645,-46713.284,-46762.322,-48262.217,-46991.332,-48095.402,-47220.343,-48451.66,-48457.266,-48466.412,-48488.373,-48510.335,-48528.524,-48549.703,-48565.217,-48569.01,-50000.0,-48742.687,-48627.393,-48657.022,-48658.497,-48671.773,-48674.982,-48698.704,-48730.448,-48736.282,-48751.819,-48759.785,-48776.801,-48798.458,-48803.708,-48826.005,-48833.046,-48858.863,-47312.144,-47242.53,-47244.29,-47275.388,-47301.204,-47304.705,-47320.216,-47335.793,-46658.663,-45717.69,-46623.803,-46399.702,-45749.652,-45775.734,-44508.957,-44161.735,-44177.223,-44192.843,-44161.036,-42706.681,-44008.534,-42602.917,-42610.544,-41581.439,-39354.001,-39363.044,-38553.117,-36827.812,-36108.586,-35017.004,-33282.917,-31546.443,-29813.904,-28081.246,-23116.151,-22952.69,-20904.177,-15939.111,-12461.515,-9911.5954,-8234.3687,-4984.4431,-1965.4045,5004.1638,11017.788,14145.159,15883.092,21375.928,28341.076,33877.252,39107.988,41053.158,42687.763,41239.12,44578.946,46030.234,46033.774,46058.162,46083.657,46779.304,46975.321,46132.997,47122.512,46713.085,47360.254,47837.617,47840.863,47853.99,47883.612,47885.373,48046.072,49567.587,49595.734,49611.238,49099.081,48625.39,49672.568,49680.829,48765.451,49077.869,49710.167,49742.67,49742.421,49764.734,49782.26,49797.884,49799.352,49827.516,49832.21,49497.24,48218.118,48222.487,48922.997,49171.486,48296.179,49258.332,49954.201,49979.988,50000.0,48663.164,48381.771,48397.388,48412.859,48428.485,48443.966,48459.573,48475.074,48486.285,47903.138,46878.753,46888.688,46888.983,46913.371,46934.733,46950.313,46965.82,45583.709,45346.242,43779.955,43762.598,45262.344,43760.702,43773.246,43777.081,43269.591,42173.583,41463.503,38906.226,37264.329,37282.518,35060.685,31579.861,30749.544,30755.412,27734.319,24253.496,22487.247,20248.74,14348.824,13617.232,10609.663,8316.2925,4835.4689,1354.6453,-1268.5818,-3966.2809,-10610.4,-17011.302,-20993.678,-24489.995,-32314.472,-37937.649,-38233.638,1,2000,4.7169811e-05,2.623155e-06,1657478200.0,0.020165443
