sigma,eta
0.65,0.66666667
0.74166667,0.48333333
0.56666667,0.80833333
0.85,0.10833333
0.3,0.10833333
0.54166667,0.51666667
0.35,0.066666667
0.14166667,0.45
0.5,0.066666667
0.05,0.075
0.16666667,0.74166667
0.53333333,0.56666667
0.49166667,0.475
0.88333333,0.775
0.2,0.95
0.34166667,0.49166667
0.69166667,0.6
0.033333333,0.76666667
0.11666667,0.18333333
0.10833333,0.64166667
0.60833333,0.98333333
0.35833333,0.90833333
0.44166667,0.375
0.80833333,0.15833333
0.175,0.94166667
0.79166667,0.425
0.13333333,0.3
0.25,0.825
0.4,0.475
0.43333333,0.65833333
1,0.175
0.94166667,0.375
0.225,0.083333333
0.94166667,0.68333333
0.91666667,0.98333333
0.94166667,0.76666667
0.75,0.84166667
0.76666667,0.525
0.275,0.15833333
0.20833333,0.083333333
0.68333333,0.93333333
0.3,0.88333333
0.95833333,0.50833333
0.78333333,0.98333333
0.3,0.48333333
0.81666667,0.39166667
0.59166667,0.325
0.48333333,0.95
0.63333333,0.65833333
0.5,0.775
0.175,0.95
0.51666667,0.058333333
0.66666667,0.0083333333
0.91666667,0.45833333
0.4,0.2
0.63333333,0.74166667
0.10833333,0.625
0.3,0.53333333
0.35,0.85833333
0.33333333,0.29166667
0.30833333,0.35
0.88333333,0.88333333
0.625,0.058333333
0.525,0.033333333
0.19166667,1
0.275,0.625
0.64166667,0.75833333
0.775,0.34166667
0.10833333,0.19166667
0.60833333,0.74166667
0.86666667,0.70833333
0.016666667,0.025
0.9,0.375
0.325,0.3
0.45,0.35833333
0.925,0.5
0.75,0.55
0.60833333,0.80833333
0.45833333,0.125
0.28333333,0.39166667
0.95833333,0.69166667
0.75833333,0.85
0.7,0.4
0.175,0.66666667
0.14166667,0.89166667
0.63333333,0.1
0.225,0.50833333
0.45833333,0.025
0.75833333,0.95
0.5,0.39166667
0.21666667,0.66666667
0.7,0.89166667
0.24166667,0.14166667
0.525,0.1
0.575,0.80833333
0.95,1
0.36666667,0.78333333
0.033333333,0.73333333
0.70833333,0.25
0.81666667,0.26666667
0.43333333,0.975
0.73333333,0.59166667
0.76666667,0.425
0.36666667,0.23333333
0.36666667,0.16666667
0.60833333,0.99166667
0.56666667,0.83333333
0.61666667,0.30833333
0.76666667,0.96666667
0.10833333,0.825
0.35,0.083333333
0.65,0.58333333
0.225,0.15
0.73333333,0.46666667
0.99166667,0.80833333
0.30833333,0.033333333
0.34166667,0.575
0.55833333,0.066666667
0.825,0.48333333
0.30833333,0.64166667
0.066666667,0.26666667
0.43333333,0.525
0.38333333,0.725
0.50833333,0.73333333
0.51666667,0.475
0.28333333,0.41666667
0.74166667,0.225
0.55833333,0.41666667
0.58333333,0.925
0.13333333,0.34166667
0.51666667,0.625
0.36666667,0.975
0.53333333,0.925
0.18333333,0.5
0.41666667,0.40833333
0.60833333,0.21666667
0.73333333,0.425
0.85,0.95833333
0.34166667,0.21666667
0.4,0.55833333
0.575,0.61666667
0.68333333,0.425
0.13333333,0.275
0.71666667,0.59166667
0.475,0.975
0.9,0.79166667
0.8,0.025
0.53333333,0.46666667
0.11666667,0.375
0.083333333,0.19166667
0.25,0.25
0.41666667,0.93333333
0.825,0.19166667
0.6,0.88333333
0.29166667,0.9
0.65833333,0.9
0.18333333,0.44166667
0.525,0.39166667
0.058333333,0.43333333
0.80833333,0.68333333
0.95833333,0.85
0.5,0.48333333
0.84166667,0.46666667
0.84166667,0.33333333
0.63333333,0.44166667
0.94166667,0.98333333
0.11666667,0.69166667
0.54166667,0.53333333
0.86666667,0.54166667
0.79166667,0.65
0.325,1
0.30833333,0.58333333
0.9,0.49166667
0.93333333,0.875
0.9,0.33333333
0.1,0.44166667
0.0083333333,0.825
0.825,0.041666667
0.75,0.54166667
0.85,0.54166667
0.61666667,0.76666667
0.30833333,0.56666667
0.38333333,0.88333333
0.49166667,0.033333333
0.28333333,0.20833333
0.31666667,0.675
0.28333333,0.65833333
0.31666667,0.44166667
0.86666667,0.29166667
0.058333333,0.21666667
0.75833333,0.625
0.2,0.675
0.225,0.65
0.55833333,0.66666667
0.99166667,0.083333333
0.45833333,0.11666667
0.18333333,0.35833333
0.34166667,0.05
0.39166667,0.23333333
0.825,0.73333333
0.15833333,0.26666667
0.39166667,0.125
0.45833333,0.38333333
0.33333333,0.725
0.7,0.125
0.56666667,0.29166667
0.8,0.675
0.23333333,0.075
0.825,0.575
0.19166667,0.49166667
0.59166667,0.56666667
0.575,0.091666667
0.55833333,0.51666667
0.45,0.44166667
0.66666667,0.8
0.91666667,0.76666667
0.91666667,0.35
0.76666667,0.68333333
0.016666667,0.45
0.59166667,0.25833333
0.025,0.775
0.46666667,0.41666667
0.38333333,0.69166667
0.1,0.98333333
0.5,0.16666667
0.775,0.79166667
0.575,0.34166667
0.60833333,0.875
0.275,0.45833333
0.8,0.31666667
0.86666667,0.80833333
0.175,0.05
0.9,0.20833333
0.69166667,0.90833333
0.76666667,0.075
0.875,0.79166667
0.30833333,0.55
0.85833333,0.625
0.95833333,0.49166667
0.83333333,0.58333333
0.84166667,1
0.125,0.93333333
0.61666667,0.63333333
0.96666667,0.66666667
0.05,0.29166667
0.44166667,0.05
0.85,0.86666667
0.15833333,0.2
0.85,0.48333333
0.80833333,0.20833333
0.475,0.11666667
0.66666667,0.25833333
0.6,0.98333333
0.2,0.99166667
0.575,0.825
0.575,0.325
0.45,0.475
0.075,0.78333333
0.49166667,0.33333333
0.61666667,0.55833333
0.40833333,0.91666667
0.84166667,0.275
0.39166667,0.825
0.1,0.225
0.53333333,0.34166667
0.91666667,0.575
0.44166667,0.55
0.55833333,0.90833333
0.54166667,0.975
0.68333333,0.23333333
0.775,0.6
0.091666667,0.13333333
0.7,0.725
0.375,0.1
0.56666667,0.55833333
0.9,0.70833333
0.725,0.99166667
0.85833333,0.39166667
0.041666667,0.63333333
0.10833333,0.091666667
0.625,0.8
0.70833333,0.025
0.16666667,0.25833333
0.48333333,0.625
0.29166667,0.85
0.89166667,0.73333333
0.60833333,0.83333333
0.91666667,0.44166667
0.59166667,0.73333333
0.075,0.091666667
0.16666667,0.066666667
0.68333333,0.44166667
0.9,0.925
0.45,0.80833333
0.84166667,0.1
0.875,0.71666667
0.75833333,0.98333333
0.21666667,0.96666667
0.79166667,0.31666667
0.35,0.60833333
0.41666667,0.36666667
0.825,0.94166667
0.091666667,0.59166667
0.83333333,0.45833333
0.075,0.6
0.36666667,0.18333333
0.375,0.71666667
0.275,0.0083333333
0.84166667,0.20833333
0.65833333,0.6
